epoch,virtual_year,trajectory_index,selected_reference_index,is_correct_place_match,false_place_match,environment_change_score,structural_change_score,appearance_change_score,detected_keypoint_count,raw_match_count,ransac_inlier_count,inlier_ratio,reprojection_rmse
Year2,2,0,0,True,False,0.1557,0.252,0.10400000000000001,31,12,9,0.75,0.9594626426696777
Year2,2,1,-1,False,False,0.1557,0.252,0.10400000000000001,12,0,0,0.0,nan
Year2,2,2,-1,False,False,0.1557,0.252,0.10400000000000001,1,0,0,0.0,nan
Year5,5,0,-1,False,False,0.52169,0.46799999999999997,0.5547,34,3,0,0.0,nan
Year5,5,1,-1,False,False,0.52169,0.46799999999999997,0.5547,21,0,0,0.0,nan
Year5,5,2,-1,False,False,0.52169,0.46799999999999997,0.5547,11,2,0,0.0,nan
Year10,10,0,-1,False,False,0.9440000000000001,0.96,0.93,62,2,0,0.0,nan
Year10,10,1,-1,False,False,0.9440000000000001,0.96,0.93,15,0,0,0.0,nan
Year10,10,2,-1,False,False,0.9440000000000001,0.96,0.93,34,1,0,0.0,nan
CaseAppearance,6,0,-1,False,False,0.5940000000000001,0.0,0.8400000000000001,33,3,0,0.0,nan
CaseAppearance,6,1,-1,False,False,0.5940000000000001,0.0,0.8400000000000001,12,1,0,0.0,nan
CaseAppearance,6,2,-1,False,False,0.5940000000000001,0.0,0.8400000000000001,10,1,0,0.0,nan
CaseStructural,6,0,0,True,False,0.582,1.0,0.38,27,7,4,0.5714285714285714,0.0
CaseStructural,6,1,-1,False,False,0.582,1.0,0.38,19,1,0,0.0,nan
CaseStructural,6,2,-1,False,False,0.582,1.0,0.38,21,1,0,0.0,nan
