epoch,virtual_year,trajectory_index,selected_reference_index,is_correct_place_match,false_place_match,detected_keypoint_count,raw_match_count,ransac_inlier_count,inlier_ratio,reprojection_rmse,texture_entropy,edge_density,corner_density,brightness,blur_score,environment_change_score,structural_change_score,appearance_change_score,vegetation_change_score,building_change_score,road_appearance_change_score,road_geometry_change_score,season_change_score,weather_change_score,delta_texture_entropy,delta_edge_density,delta_corner_density,delta_brightness,delta_blur_score
Year2,2,0,0,True,False,79,49,47,0.9591836734693877,0.0,3.4661955258805546,0.01421875,0.003916015625,90.508662109375,550.7768066290856,0.1557,0.252,0.10400000000000001,0.2175,0.42,0.06999999999999999,0,0.15,0,-0.019724964221702113,0.003330078125,0.002939453125,3.200126953124993,-121.77088868303281
Year2,2,1,1,True,False,215,18,12,0.6666666666666666,0.0,3.60649397053234,0.0338671875,0.005927734375,89.596103515625,602.3478413687706,0.1557,0.252,0.10400000000000001,0.2175,0.42,0.06999999999999999,0,0.15,0,0.0038750948037002964,0.029794921874999998,0.0049804687500000005,6.237832031250008,-173.24278326463696
Year2,2,2,2,True,False,42,25,21,0.84,0.46221786737442017,2.6626297895469424,0.01005859375,0.00359375,83.831376953125,450.9633154415131,0.1557,0.252,0.10400000000000001,0.2175,0.42,0.06999999999999999,0,0.15,0,0.0009215246221638829,0.005830078125000001,0.002802734375,3.88720703125,-112.08217713117602
Year5,5,0,0,True,False,67,38,36,0.9473684210526315,0.0,2.9841963245462426,0.010888671875,0.005224609375,94.955,170.95204099950791,0.52169,0.46799999999999997,0.5547,0.5,0.78,0.65,0,0.72,0.35,-0.5017241655560141,0.0,0.004248046875,7.646464843749996,-501.5956543126105
Year5,5,1,1,True,False,186,8,5,0.625,0.0,2.682485538442516,0.008759765625,0.005244140625,93.782666015625,161.6622554312706,0.52169,0.46799999999999997,0.5547,0.5,0.78,0.65,0,0.72,0.35,-0.9201333372861238,0.004687500000000001,0.004296875,10.424394531250002,-613.9283692021369
Year5,5,2,2,True,False,39,21,13,0.6190476190476191,0.0,2.186663307129727,0.003447265625,0.0045703125,94.415283203125,136.47541365623474,0.52169,0.46799999999999997,0.5547,0.5,0.78,0.65,0,0.72,0.35,-0.47504495779505174,-0.0007812500000000003,0.0037792968749999997,14.471113281249998,-426.57007891645435
Year10,10,0,2,False,True,399,4,4,1.0,133.3022918701172,2.762099611224484,0.035810546875,0.002275390625,71.5575390625,3757.8087385535246,0.9440000000000001,0.96,0.93,1.0,1.0,0.65,0.9,1.0,1.0,-0.7238208788777727,0.024921875000000003,0.001298828125,-15.750996093750004,3085.2610432414062
Year10,10,1,1,True,False,400,4,4,1.0,182.05218505859375,2.469737357108791,0.040341796875,0.00185546875,67.565146484375,3672.308451605224,0.9440000000000001,0.96,0.93,1.0,1.0,0.65,0.9,1.0,1.0,-1.132881518619849,0.03626953125,0.0009082031249999999,-15.79312499999999,2896.7178269718165
Year10,10,2,1,False,True,343,6,0,0.0,nan,1.1852255148106186,0.027841796875,0.001865234375,65.4641015625,3715.9568918575287,0.9440000000000001,0.96,0.93,1.0,1.0,0.65,0.9,1.0,1.0,-1.47648275011416,0.02361328125,0.0010742187499999999,-14.480068359374997,3152.9113992848397
CaseAppearance,6,0,0,True,False,25,21,21,1.0,0.0,2.6920151592015364,0.00751953125,0.007705078125,77.029619140625,67.1168164001465,0.5940000000000001,0.0,0.8400000000000001,1.0,0.0,0.7,0.0,1.0,0.5,-0.7939053309007202,-0.003369140625,0.006728515625,-10.278916015625,-605.430878911972
CaseAppearance,6,1,-1,False,False,0,0,0,0.0,nan,2.5046291884208896,0.0,0.009765625,76.245224609375,81.49291991033553,0.5940000000000001,0.0,0.8400000000000001,1.0,0.0,0.7,0.0,1.0,0.5,-1.0979896873077504,-0.004072265625,0.008818359375,-7.113046874999995,-694.097704723072
CaseAppearance,6,2,-1,False,False,0,0,0,0.0,nan,1.9073530880348006,0.0,0.007333984375,76.657841796875,51.004349218750015,0.5940000000000001,0.0,0.8400000000000001,1.0,0.0,0.7,0.0,1.0,0.5,-0.7543551768899779,-0.004228515625,0.006542968749999999,-3.286328124999997,-512.0411433539391
CaseStructural,6,0,0,True,False,55,52,52,1.0,0.0,2.6434053334294854,0.00751953125,0.005732421875,68.141142578125,128.30584944906238,0.582,1.0,0.38,0.3,1.0,0.8,1.0,0.0,0.0,-0.8425151566727713,-0.003369140625,0.004755859375,-19.167392578125003,-544.241845863056
CaseStructural,6,1,0,False,True,187,14,8,0.5714285714285714,4.095419406890869,2.379697830124861,0.0046875,0.0051953125,67.37185546875,104.4414546751976,0.582,1.0,0.38,0.3,1.0,0.8,1.0,0.0,0.0,-1.222921045603779,0.0006152343749999999,0.0042480468750000005,-15.986416015624997,-671.1491699582099
CaseStructural,6,2,-1,False,False,0,0,0,0.0,nan,1.0415075827452303,0.0,0.002578125,70.905654296875,44.357641732692734,0.582,1.0,0.38,0.3,1.0,0.8,1.0,0.0,0.0,-1.6202006821795483,-0.004228515625,0.001787109375,-9.038515625000002,-518.6878508399964
