Model,PositionRMSE_m,PositionMAE_m,PositionP95_m,YawRMSE_deg,FailureRate_pct,MeanNEES2D,MeanParticles,MaxParticles,MeanRuntime_ms,P95Runtime_ms,RealTimeFactor
PF-Fixed,0.494816648113977,0.469768307723903,0.744163365471934,1.57732469767473,0,0.769107360553582,250,250,1.06111944444444,4.49519000000001,188.480195181716
PF-Adaptive,0.256963146336269,0.224750603341988,0.429845382857679,1.30682770804911,0,0.204460618092906,446.527777777778,450,0.403231944444444,0.586735,495.992449892714
Ontology-Rule-PF,0.587674328265056,0.529136007681987,0.911962835843286,7.49039600902082,0,3.93177057910605,447.791666666667,450,0.604872222222222,2.32224,330.648346299039
GAT-PF,0.605484033455667,0.593263022470653,0.78238511110824,3.28125762287924,0,3.59527351333409,450,450,0.425336111111111,0.62645,470.21636483566
Ontology-RGAT-PF,0.600464562973768,0.570879987701295,0.902424755281375,3.98127582178864,0,3.8189678944478,450,450,0.393722222222222,0.542595,507.97234372796
Ontology-TAGAT-PF,0.574937703164515,0.538377580956274,0.835116607393774,1.09362195246079,0,3.90215688524648,450,450,0.442155555555556,0.578765,452.329496909088
