Feature,Mean,Std,Min,Max,MissingPct
GPSFix,2.63333333333333,0.775496421745111,1,3,0
NumSV,7.52916666666667,4.06834696177633,0,11,0
GPSInnovation,7.12353105834274,9.11584743587172,0.0408450588499829,25,0
GPSSpeedResidual,1.04173800511629,1.88228230762889,0,5,0
LidarValidRatio,0.798291666666667,0.191787447542501,0.35,0.88,0
LidarInlierRatio,0.690583333333334,0.209880602971039,0.2,0.78,0
LidarICPRMSE,0.352666666666667,0.405286681599247,0.18,1.3,0
LidarStructure,0.712083333333333,0.253304175999529,0.12,0.82,0
OdomCovXY,0.113458333333333,0.0458499272610828,0.08,0.2,0
OdomYawVar,0.000908775302363682,0.000472459438091641,0.000685389194520094,0.00190385887366693,0
Dynamics,0.0518611142481556,0.0287864259911708,0.00503852650470961,0.166397970232782,0
OpenSkyScore,0.719730784313742,0.357783070218112,0,0.998472213769325,0
