epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24334,3.06115,12.1515,0.01812,0.0016,0.03448,0.00027,3e-05,3.14761,15.469,0.01868,0.000583333,0.000583333,0.000583333
2,2.28404,3.06637,12.5883,0.01836,0.00108,0.03448,0.00025,3e-05,3.0835,15.2561,0.01707,0.00120875,0.00120875,0.00120875
3,3.33233,3.10342,13.6472,0.01863,0.00067,0.10345,0.00016,5e-05,3.18922,15.5819,0.01946,0.00179017,0.00179017,0.00179017
4,4.37405,3.12837,13.7963,0.01913,0.00126,0.06897,0.00026,6e-05,3.21208,15.2465,0.01805,0.001802,0.001802,0.001802
5,5.44828,2.73115,10.0084,0.01578,0.00388,0.24138,0.00141,0.00065,2.11145,33.3349,0.01191,0.001736,0.001736,0.001736
6,6.73175,2.44989,6.17547,0.01313,0.00224,0.24138,0.00141,0.00021,2.94679,1932.13,0.01555,0.00167,0.00167,0.00167
7,7.88292,2.398,5.1657,0.01374,0.00632,0.48276,0.00431,0.00157,2.50297,3073.71,0.01427,0.001604,0.001604,0.001604
8,9.07371,2.37458,4.51246,0.01294,0.00203,0.27586,0.00131,0.00061,3.14489,7538.99,0.01775,0.001538,0.001538,0.001538
9,10.2236,2.19747,4.35125,0.01088,0.00303,0.37931,0.00138,0.00024,2.42773,2872.36,0.0135,0.001472,0.001472,0.001472
10,11.3806,2.05468,3.80852,0.01118,0.00596,0.31034,0.00536,0.00123,2.20696,907.503,0.01173,0.001406,0.001406,0.001406
11,12.5329,2.0584,3.54435,0.01162,0.00973,0.31034,0.00555,0.00133,2.35479,180.093,0.01318,0.00134,0.00134,0.00134
12,13.6945,2.09813,3.07819,0.01029,0.02886,0.48276,0.02313,0.00666,2.39184,55.818,0.01325,0.001274,0.001274,0.001274
13,15.1879,1.91818,2.83947,0.00965,0.06098,0.58621,0.04762,0.01699,2.02151,22.6176,0.01128,0.001208,0.001208,0.001208
14,16.3899,1.99047,2.83391,0.00965,0.18136,0.34483,0.12501,0.04358,1.97721,8.37126,0.01068,0.001142,0.001142,0.001142
15,17.6895,1.88267,2.83612,0.00989,0.27733,0.34483,0.18543,0.07196,1.92515,4.08633,0.01006,0.001076,0.001076,0.001076
16,19.3633,1.93256,2.66684,0.00948,0.27414,0.27586,0.22153,0.08906,1.74844,3.5389,0.00927,0.00101,0.00101,0.00101
17,20.5583,1.88821,2.54801,0.00934,0.40896,0.41379,0.29312,0.09279,1.84258,3.21743,0.00974,0.000944,0.000944,0.000944
18,21.7687,1.90859,2.48476,0.00996,0.31914,0.31034,0.2472,0.07904,1.91219,3.20168,0.00963,0.000878,0.000878,0.000878
19,22.9291,1.93506,2.39104,0.00999,0.26677,0.41379,0.23583,0.09585,1.83055,2.92957,0.00937,0.000812,0.000812,0.000812
20,24.1375,1.93225,2.24949,0.00903,0.23298,0.48276,0.28986,0.12784,1.69103,2.56224,0.00893,0.000746,0.000746,0.000746
21,25.6866,1.74806,2.2961,0.0095,0.3276,0.37931,0.41387,0.18413,1.77742,2.29723,0.01026,0.00068,0.00068,0.00068
22,26.8814,1.70846,2.34983,0.00871,0.39716,0.41379,0.46887,0.18475,1.76048,2.33764,0.00954,0.000614,0.000614,0.000614
23,28.071,1.68608,2.23423,0.00819,0.35767,0.41379,0.49115,0.17586,1.83536,2.25549,0.00951,0.000548,0.000548,0.000548
24,29.2194,1.7531,2.23194,0.01007,0.35129,0.48276,0.53397,0.18875,1.85187,2.06236,0.00945,0.000482,0.000482,0.000482
25,30.4185,1.68393,2.14324,0.00936,0.65608,0.37931,0.56341,0.21887,1.71408,1.96252,0.00877,0.000416,0.000416,0.000416
26,31.6054,1.59245,2.1093,0.00901,0.61148,0.37931,0.53611,0.24411,1.72046,1.72611,0.00882,0.00035,0.00035,0.00035
27,32.7971,1.6845,1.93171,0.00872,0.5978,0.37931,0.50463,0.24838,1.66455,1.6526,0.00889,0.000284,0.000284,0.000284
28,34.1041,1.57349,1.97843,0.00915,0.45416,0.48276,0.52053,0.2626,1.60357,1.65693,0.00845,0.000218,0.000218,0.000218
29,35.3267,1.53197,1.97704,0.00818,0.42967,0.51724,0.54439,0.25914,1.58034,1.67744,0.00828,0.000152,0.000152,0.000152
30,36.4759,1.65421,1.94782,0.00909,0.46741,0.51724,0.5413,0.2578,1.5797,1.66749,0.00816,8.6e-05,8.6e-05,8.6e-05
