Epoch,Loss,ValAUROC,ValNLL
1,1.45551733223789,0.497094298245614,0.89990412404779
2,1.37708433421261,0.559155701754386,1.03525683766277
3,1.34106638776251,0.588349780701754,1.02543626925196
4,1.30779619820147,0.570915570175439,1.07784312652836
5,1.26983134286949,0.57468475877193,1.16097372370678
6,1.19087543616812,0.575233004385965,1.20445549553487
7,1.10338884735682,0.593174342105263,1.09225685007271
8,1.04837402952723,0.611746162280702,1.14706949619419
9,0.994231942906437,0.634662828947368,1.20280736089754
10,0.959590621023293,0.650246710526316,1.20412573100533
11,0.929576241108308,0.655030153508772,1.13232798749478
12,0.902445300515876,0.665049342105263,1.20820904611239
13,0.878072384610234,0.663007127192982,1.25537895831387
14,0.857159667704479,0.660553728070175,1.21244073734281
15,0.842342340802572,0.669640899122807,1.22616496138365
16,0.843714434698404,0.65375548245614,1.18754052420511
17,0.829191342175725,0.659416118421053,1.20814208918092
18,0.817733633949096,0.665227521929825,1.31546274642463
19,0.813471421419856,0.667228618421053,1.30195431565314
20,0.793992759233498,0.669736842105263,1.39142321630338
21,0.77843726471246,0.667461622807018,1.5232716605405
22,0.787354279713458,0.666885964912281,1.46514264995119
23,0.772665086280869,0.682086074561403,1.44074721934357
24,0.774101074919643,0.684087171052632,1.29297731657723
25,0.767972879381065,0.673985745614035,1.46573737520498
26,0.750022864485361,0.680729166666667,1.38654739740169
27,0.745903973119805,0.67983826754386,1.40970883825578
28,0.742455325212823,0.665652412280702,1.48282863209666
29,0.74256953704788,0.672793311403509,1.47796960194905
30,0.740025431276804,0.680605811403509,1.48655810224903
