Epoch,Loss,ValAUROC,ValNLL
1,1.2968853410468,0.623300438596491,1.06951084655609
2,1.00380155551864,0.630098684210526,1.13592822455137
3,0.934278962123825,0.573697916666667,1.31690676712682
4,0.918018156505493,0.646052631578947,1.13451247310795
5,0.875785590654396,0.605838815789474,1.18496242562049
6,0.901452170079013,0.658566337719298,1.22528537370022
7,0.876291838755091,0.675082236842105,1.18301484669863
8,0.847212565232472,0.665885416666667,1.15667290580841
9,0.845042513795646,0.637061403508772,1.39461652095138
10,0.859183963522854,0.653453947368421,1.26576438486887
11,0.824497529541154,0.598300438596491,1.26603463021568
12,0.79905281943011,0.601384320175439,1.39740298261886
13,0.79111767461501,0.591282894736842,1.34933632196018
14,0.756721232310835,0.612458881578947,1.33669403180056
15,0.755017862262496,0.64125548245614,1.29612550707753
