Epoch,Loss,ValAUROC,ValNLL
1,1.47493278693004,0.491214364035088,0.970945543991239
2,1.36680990529348,0.590720942982456,1.05375175241481
3,1.33739635312414,0.590145285087719,1.20546807737776
4,1.31968639270369,0.60202850877193,1.17310772126439
5,1.25844150278942,0.619202302631579,1.17078649335396
6,1.1941311244505,0.605455043859649,1.11135410191879
7,1.11121176883399,0.638116776315789,1.17301146421974
8,1.06080584210086,0.656578947368421,1.14678825047427
9,1.01693587418062,0.679440789473684,1.1895178703396
10,0.980688090784004,0.65061677631579,1.16690937191391
11,0.964090882295586,0.657072368421053,1.39657981053835
12,0.937235152865031,0.65905975877193,1.25985336228264
13,0.921035149011267,0.646313048245614,1.30409813914303
14,0.88467785033835,0.655263157894737,1.30088406238182
15,0.867934663611722,0.648670504385965,1.27322670595933
16,0.861389616167689,0.63874725877193,1.24417504746506
17,0.843147900449224,0.636554276315789,1.26547099942912
