Model,Precision,Recall,F1,Accuracy,FPR
Transformer-Dual EDL,0.326210826210826,0.439539347408829,0.37448896156991,0.493377483443709,0.478260869565217
Static Ontology-GAT,0.336561743341404,0.26679462571977,0.297644539614561,0.565562913907285,0.277047522750253
Dynamic GAT (No Ontology),0.416502946954813,0.406909788867562,0.411650485436893,0.598675496688742,0.300303336703741
Full Ontology TA-GAT,0.413347685683531,0.737044145873321,0.529655172413793,0.548344370860927,0.551061678463094
