Epoch,Loss
1,1.31505188968155
2,1.18882187775203
3,1.21383032169971
4,1.2312330701849
5,1.24145995260595
6,1.24783977964422
7,1.2515745975159
8,1.252932203995
9,1.25328011827154
10,1.25083640774528
11,1.24533437503563
12,1.24186981117332
13,1.23992007250314
14,1.237023297247
15,1.235684802244
16,1.23364784560361
17,1.23220965102479
18,1.23096026562072
19,1.22996542741964
20,1.22875360473172
21,1.22811179370671
22,1.22700478611412
23,1.22631639438671
24,1.22580891651112
25,1.22508407556094
26,1.22463089948172
27,1.22377741205823
28,1.2232829279952
29,1.22319659164974
30,1.22303407139831
31,1.22203913101783
32,1.22157827838437
33,1.22089748723166
34,1.22116456450997
35,1.22103119944478
36,1.22067947833093
37,1.22016441560054
38,1.22024153877091
39,1.21993873669551
40,1.21971387522561
41,1.21941860429533
42,1.2191237957923
43,1.21917841460679
44,1.21878809981294
45,1.21895077464345
46,1.2188747374566
47,1.21826697312869
48,1.21797977568029
49,1.21793024880545
50,1.21782016623151
