Epoch,Loss
1,0.438635869504331
2,0.243960699864796
3,0.142266491039114
4,0.094849132328898
5,0.0705172696079199
6,0.0660187937268107
7,0.0441821589733341
8,0.0591323866808255
9,0.0351718505102486
10,0.0356279993122751
11,0.047008566695245
12,0.0322679014387796
13,0.0371838070140067
14,0.0305730475427501
15,0.0284073794021394
16,0.0204223149237325
17,0.0219332862464368
18,0.0179688214119089
19,0.0268857451251728
20,0.0220395165452718
21,0.0269280535937799
22,0.0222535540274943
23,0.0217581707338168
24,0.01614097887164
25,0.01872664178302
26,0.0249399098858383
27,0.0159069243700187
28,0.0141570422063443
29,0.0248831856828234
30,0.0205333850904276
31,0.0250817136058666
32,0.019488111192074
33,0.0208886533065387
34,0.0182682753434714
35,0.0111263931994672
36,0.0108560378264104
37,0.0175655596100554
38,0.0149687746145371
39,0.00872818836101182
40,0.0149553353440242
41,0.0135299548582535
42,0.00722859113795074
43,0.017586697891462
44,0.0155537056056706
45,0.0117070162620851
46,0.0122763913397928
47,0.0150339077433103
48,0.0146757581590734
49,0.0190965207739782
50,0.0219912407468815
