epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.41879,1.68977,1.17142,0.00771,0.87188,0.71473,0.75698,0.45044,1.41213,0.75895,0.00808,0.000655367,0.000655367,0.000655367
2,14.5363,1.70168,1.22759,0.00691,0.78857,0.72489,0.7548,0.43048,1.51819,0.98008,0.00848,0.00127841,0.00127841,0.00127841
3,21.6762,1.72835,1.16716,0.00768,0.91455,0.71473,0.77212,0.44501,1.46031,0.914,0.00841,0.00185745,0.00185745,0.00185745
4,28.7029,1.7276,1.22664,0.0074,0.89272,0.73042,0.78395,0.43956,1.57226,0.84081,0.00818,0.001802,0.001802,0.001802
5,35.7538,1.7704,1.18197,0.00698,0.88178,0.75549,0.77697,0.44618,1.55008,0.83245,0.00775,0.001736,0.001736,0.001736
6,42.8735,1.74972,1.16056,0.00706,0.88918,0.7116,0.77398,0.45089,1.48819,0.85956,0.00807,0.00167,0.00167,0.00167
7,49.9362,1.8103,1.15584,0.00714,0.89488,0.74723,0.78437,0.46094,1.48702,0.92791,0.00758,0.001604,0.001604,0.001604
8,56.8373,1.76707,1.18347,0.00705,0.89246,0.76803,0.78789,0.42504,1.69745,0.87441,0.0086,0.001538,0.001538,0.001538
9,63.7209,1.72273,1.15255,0.00684,0.91251,0.75202,0.80174,0.49591,1.4339,0.71766,0.00729,0.001472,0.001472,0.001472
10,71.2587,1.66542,1.14167,0.00643,0.91228,0.74988,0.79054,0.47052,1.41036,0.75747,0.00717,0.001406,0.001406,0.001406
11,78.8127,1.76193,1.18364,0.00694,0.9009,0.74295,0.78654,0.45899,1.47516,0.9353,0.0081,0.00134,0.00134,0.00134
12,86.4058,1.74411,1.13717,0.00684,0.9337,0.75054,0.79937,0.45289,1.61806,0.80622,0.00793,0.001274,0.001274,0.001274
13,94.0032,1.65852,1.10403,0.00663,0.86425,0.77837,0.80713,0.48983,1.41645,0.77193,0.00717,0.001208,0.001208,0.001208
14,101.506,1.64464,1.06615,0.00646,0.87671,0.77743,0.81788,0.48784,1.3799,0.73604,0.00706,0.001142,0.001142,0.001142
15,109.145,1.53537,0.98529,0.00583,0.92387,0.76087,0.82174,0.51005,1.38688,0.69736,0.00693,0.001076,0.001076,0.001076
16,116.781,1.56327,1.02181,0.00598,0.91985,0.75549,0.82847,0.50596,1.34049,0.6837,0.00663,0.00101,0.00101,0.00101
17,124.377,1.58849,0.96126,0.00649,0.92143,0.78997,0.83537,0.50789,1.39745,0.65267,0.00696,0.000944,0.000944,0.000944
18,131.918,1.55678,0.98416,0.00596,0.89048,0.75549,0.82354,0.49741,1.41839,0.77591,0.00717,0.000878,0.000878,0.000878
19,139.095,1.6132,0.96838,0.00641,0.92927,0.78256,0.8341,0.50692,1.39423,0.73658,0.00699,0.000812,0.000812,0.000812
20,146.179,1.54254,0.97771,0.00587,0.92117,0.77743,0.84072,0.502,1.35572,0.63623,0.00669,0.000746,0.000746,0.000746
21,153.765,1.5047,0.85325,0.00598,0.93507,0.78056,0.83486,0.49744,1.40682,0.65453,0.00675,0.00068,0.00068,0.00068
22,160.85,1.46928,0.81656,0.00608,0.92411,0.76489,0.82325,0.49289,1.47003,0.68047,0.00755,0.000614,0.000614,0.000614
23,167.996,1.43187,0.79409,0.00598,0.9548,0.78056,0.83775,0.51334,1.41065,0.65711,0.00697,0.000548,0.000548,0.000548
24,175.123,1.47894,0.7485,0.00595,0.93853,0.76585,0.83138,0.52018,1.34931,0.63449,0.00658,0.000482,0.000482,0.000482
25,182.245,1.41394,0.74938,0.00573,0.91434,0.7837,0.83757,0.51567,1.38921,0.62894,0.00702,0.000416,0.000416,0.000416
26,189.275,1.41687,0.752,0.00571,0.90892,0.77429,0.84137,0.5164,1.36972,0.64477,0.00682,0.00035,0.00035,0.00035
27,196.377,1.44824,0.74587,0.00587,0.91911,0.7837,0.83795,0.49949,1.42906,0.65004,0.00685,0.000284,0.000284,0.000284
28,203.392,1.42157,0.73827,0.0056,0.94481,0.77743,0.84314,0.53468,1.30158,0.60493,0.00631,0.000218,0.000218,0.000218
29,210.567,1.39144,0.70493,0.00542,0.92836,0.78056,0.84264,0.52079,1.3823,0.60093,0.00653,0.000152,0.000152,0.000152
30,217.732,1.39285,0.73902,0.00567,0.93254,0.78056,0.84219,0.5337,1.31857,0.59596,0.00628,8.6e-05,8.6e-05,8.6e-05
