Time,GT_X,GT_Y,GT_Yaw,Est_X,Est_Y,Est_Yaw
0,-60.6554508885165,-124.811808530068,-1.62641271710029,-60.299531506425,-124.037237642204,-1.58283818809924
0.200000047683716,-60.6681756250173,-125.066451553277,-1.63449582911795,-60.2550686172838,-124.283058590524,-1.58808538675269
0.400000095367432,-60.6897814571158,-125.325261785086,-1.66597409866725,-60.0838009051353,-124.537038216816,-1.61180764122156
0.599999904632568,-60.7133726165002,-125.593220969411,-1.65274337630983,-59.9704075198022,-124.775749004208,-1.6025359946147
0.799999952316284,-60.7333402999626,-125.870520866866,-1.63574535944066,-59.9305596256306,-124.978413329661,-1.58704979224946
1,-60.7501183130791,-126.139466153148,-1.63980497456,-59.8966930391728,-125.239189547877,-1.59332022179653
1.20000004768372,-60.7682708508127,-126.396350655104,-1.64891427531452,-59.7843105985856,-125.459856468638,-1.59810124478941
1.40000009536743,-60.7887613552437,-126.654208243382,-1.65345196981911,-59.686347852772,-125.683011361788,-1.59985604207244
1.59999990463257,-60.8091106058244,-126.919346600152,-1.64835224588925,-59.5766109666791,-125.951759080063,-1.59071486000936
1.79999995231628,-60.8280165404889,-127.197987512148,-1.63251460883576,-59.4633572528582,-126.132409470957,-1.57793586123674
2,-60.8399892294242,-127.478078701756,-1.60878076107616,-59.372937756252,-126.376178533068,-1.55283387853695
2.20000004768372,-60.8468699645728,-127.758222404801,-1.59788341518336,-59.2593561851051,-126.641259528843,-1.53997569938464
2.40000009536743,-60.8518669180116,-128.042086658052,-1.59288576215139,-59.0964464648756,-126.912632988601,-1.54042024222936
2.59999990463257,-60.8556872899733,-128.334456093872,-1.59571299330041,-58.993312308547,-127.203637306895,-1.54574336756174
2.79999995231628,-60.8624504686436,-128.636370192492,-1.60153203611883,-58.8755761103797,-127.462710873927,-1.56215388217498
3,-60.8686199165151,-128.934333228309,-1.60124077983971,-58.8114210609165,-127.745464797529,-1.56106393291803
3.20000004768372,-60.8764397980505,-129.22596704384,-1.61117728173502,-58.775441610945,-128.005614319329,-1.56919898999975
3.40000009536743,-60.8850759874769,-129.487225491275,-1.60724889535972,-58.7111524039971,-128.256086937769,-1.5613184349287
3.59999990463257,-60.8939662226633,-129.76055071146,-1.60541365806533,-58.5819275051628,-128.520011269722,-1.56442211434029
3.79999995231628,-60.9036698013284,-130.038438219293,-1.60448781458609,-58.4736002962415,-128.796398442674,-1.56608205715214
4,-60.9094367032708,-130.318281596855,-1.58461163779754,-58.4308527868127,-129.084039546638,-1.54932771893755
4.20000004768372,-60.9116711969994,-130.591497261856,-1.57916603054855,-58.3288059512618,-129.341930243461,-1.54334898507485
4.40000009536743,-60.9127381808732,-130.850954768869,-1.57085972205118,-58.2116933532117,-129.562775180304,-1.53565679833875
4.59999990463257,-60.9111709184407,-131.109322876548,-1.56991140835723,-58.1747653480427,-129.812979701286,-1.54459581835691
4.79999995231628,-60.9129134918315,-131.377348402032,-1.58428658364634,-58.0395669986183,-130.037578516877,-1.55355227294642
5,-60.9143733467346,-131.652277265063,-1.57352639763678,-58.0186162682718,-130.313484450693,-1.54507681777652
5.20000004768372,-60.9159096838213,-131.927492258527,-1.58506528933539,-57.8952987708208,-130.587172781347,-1.5516706404897
