epoch,virtual_year,trajectory_index,selected_reference_index,is_correct_place_match,false_place_match,detected_keypoint_count,raw_match_count,ransac_inlier_count,inlier_ratio,reprojection_rmse,texture_entropy,edge_density,corner_density,brightness,blur_score,environment_change_score,structural_change_score,appearance_change_score,vegetation_change_score,building_change_score,road_appearance_change_score,road_geometry_change_score,season_change_score,weather_change_score,delta_texture_entropy,delta_edge_density,delta_corner_density,delta_brightness,delta_blur_score
Year2,2,0,0,True,False,46,34,27,0.7941176470588235,0.3852970600128174,2.6525503660390912,0.010009765625,0.003369140625,83.74935546875,444.7789289669037,0.1557,0.252,0.10400000000000001,0.2175,0.42,0.06999999999999999,0,0.15,0,-0.0026641099925823752,0.005224609375,0.00267578125,3.8609179687500017,-108.10763035917267
Year2,2,1,1,True,False,50,25,22,0.88,0.2228831946849823,2.6708469621837234,0.01064453125,0.00359375,84.12080078125,473.55264631032935,0.1557,0.252,0.10400000000000001,0.2175,0.42,0.06999999999999999,0,0.15,0,-0.006841525108193469,0.005869140625000001,0.0027929687500000003,3.6754785156250023,-127.10477789077765
Year2,2,2,2,True,False,42,25,21,0.84,0.46221786737442017,2.6626297895469424,0.01005859375,0.00359375,83.831376953125,450.9633154415131,0.1557,0.252,0.10400000000000001,0.2175,0.42,0.06999999999999999,0,0.15,0,0.0009215246221638829,0.005830078125000001,0.002802734375,3.88720703125,-112.08217713117602
Year5,5,0,0,True,False,39,30,15,0.5,0.0,2.1635943282576773,0.003369140625,0.004423828125,94.3434765625,135.57841269493102,0.52169,0.46799999999999997,0.5547,0.5,0.78,0.65,0,0.72,0.35,-0.4916201477739963,-0.0014160156250000002,0.0037304687500000003,14.455039062500006,-417.3081466311454
Year5,5,1,0,False,True,41,29,12,0.41379310344827586,0.569728672504425,2.1740246633521076,0.004072265625,0.004677734375,94.493603515625,144.15031436681747,0.52169,0.46799999999999997,0.5547,0.5,0.78,0.65,0,0.72,0.35,-0.5036638239398092,-0.0007031249999999998,0.003876953125,14.048281250000002,-456.5071098342895
Year5,5,2,2,True,False,39,21,13,0.6190476190476191,0.0,2.186663307129727,0.003447265625,0.0045703125,94.415283203125,136.47541365623474,0.52169,0.46799999999999997,0.5547,0.5,0.78,0.65,0,0.72,0.35,-0.47504495779505174,-0.0007812500000000003,0.0037792968749999997,14.471113281249998,-426.57007891645435
Year10,10,0,-1,False,False,318,1,0,0.0,nan,1.1687913488141644,0.02822265625,0.001845703125,65.5001953125,3640.82140255394,0.9440000000000001,0.96,0.93,1.0,1.0,0.65,0.9,1.0,1.0,-1.4864231272175092,0.0234375,0.00115234375,-14.388242187499998,3087.934843227864
Year10,10,1,-1,False,False,311,1,0,0.0,nan,1.1734636440186939,0.0289453125,0.0018359375,66.258212890625,3727.105339400862,0.9440000000000001,0.96,0.93,1.0,1.0,0.65,0.9,1.0,1.0,-1.504224843273223,0.024169921875,0.00103515625,-14.187109374999991,3126.447915199755
Year10,10,2,0,False,True,343,4,4,1.0,180.17100524902344,1.1852255148106186,0.027841796875,0.001865234375,65.4641015625,3715.9568918575287,0.9440000000000001,0.96,0.93,1.0,1.0,0.65,0.9,1.0,1.0,-1.47648275011416,0.02361328125,0.0010742187499999999,-14.480068359374997,3152.9113992848397
CaseAppearance,6,0,-1,False,False,0,0,0,0.0,nan,1.8935373609871486,0.0,0.007333984375,76.639130859375,50.77365676841734,0.5940000000000001,0.0,0.8400000000000001,1.0,0.0,0.7,0.0,1.0,0.5,-0.761677115044525,-0.00478515625,0.006640625,-3.2493066406249937,-502.112902557659
CaseAppearance,6,1,-1,False,False,0,0,0,0.0,nan,1.8901904666602258,0.0,0.007490234375,76.526611328125,53.368767553710924,0.5940000000000001,0.0,0.8400000000000001,1.0,0.0,0.7,0.0,1.0,0.5,-0.787498020631691,-0.004775390625,0.006689453125,-3.918710937499995,-547.2886566473961
CaseAppearance,6,2,-1,False,False,0,0,0,0.0,nan,1.9073530880348006,0.0,0.007333984375,76.657841796875,51.004349218750015,0.5940000000000001,0.0,0.8400000000000001,1.0,0.0,0.7,0.0,1.0,0.5,-0.7543551768899779,-0.004228515625,0.006542968749999999,-3.286328124999997,-512.0411433539391
CaseStructural,6,0,-1,False,False,0,0,0,0.0,nan,1.038599550968279,0.0,0.002626953125,70.9244921875,43.90745215902326,0.582,1.0,0.38,0.3,1.0,0.8,1.0,0.0,0.0,-1.6166149250633945,-0.00478515625,0.00193359375,-8.963945312500002,-508.97910716705314
CaseStructural,6,1,-1,False,False,0,0,0,0.0,nan,1.0614021700882752,0.0,0.002568359375,70.89708984375,45.637947190856956,0.582,1.0,0.38,0.3,1.0,0.8,1.0,0.0,0.0,-1.6162863172036417,-0.004775390625,0.001767578125,-9.548232421875,-555.0194770102501
CaseStructural,6,2,-1,False,False,0,0,0,0.0,nan,1.0415075827452303,0.0,0.002578125,70.905654296875,44.357641732692734,0.582,1.0,0.38,0.3,1.0,0.8,1.0,0.0,0.0,-1.6202006821795483,-0.004228515625,0.001787109375,-9.038515625000002,-518.6878508399964
