epoch,virtual_year,trajectory_index,selected_reference_index,is_correct_place_match,false_place_match,environment_change_score,structural_change_score,appearance_change_score,detected_keypoint_count,raw_match_count,ransac_inlier_count,inlier_ratio,reprojection_rmse
Year2,2,0,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,1,-1,False,False,0.15255000000000002,0.252,0.1005,2,2,0,0.0,nan
Year2,2,2,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,3,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,4,7,False,True,0.15255000000000002,0.252,0.1005,7,5,0,0.0,nan
Year2,2,5,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,6,-1,False,False,0.15255000000000002,0.252,0.1005,4,2,0,0.0,nan
Year2,2,7,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,8,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,9,-1,False,False,0.15255000000000002,0.252,0.1005,1,0,0,0.0,nan
Year2,2,10,-1,False,False,0.15255000000000002,0.252,0.1005,1,0,0,0.0,nan
Year2,2,11,-1,False,False,0.15255000000000002,0.252,0.1005,2,2,0,0.0,nan
Year2,2,12,-1,False,False,0.15255000000000002,0.252,0.1005,2,1,0,0.0,nan
Year2,2,13,-1,False,False,0.15255000000000002,0.252,0.1005,5,2,0,0.0,nan
Year2,2,14,-1,False,False,0.15255000000000002,0.252,0.1005,2,2,0,0.0,nan
Year2,2,15,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,16,28,False,True,0.15255000000000002,0.252,0.1005,16,4,4,1.0,171.04672241210938
Year2,2,17,7,False,True,0.15255000000000002,0.252,0.1005,11,8,0,0.0,nan
Year2,2,18,-1,False,False,0.15255000000000002,0.252,0.1005,0,0,0,0.0,nan
Year2,2,19,7,False,True,0.15255000000000002,0.252,0.1005,12,7,0,0.0,nan
Year2,2,20,20,True,False,0.15255000000000002,0.252,0.1005,34,7,6,0.8571428571428571,0.13539491593837738
Year2,2,21,7,False,True,0.15255000000000002,0.252,0.1005,9,7,0,0.0,nan
Year2,2,22,-1,False,False,0.15255000000000002,0.252,0.1005,1,0,0,0.0,nan
Year2,2,23,7,False,True,0.15255000000000002,0.252,0.1005,15,4,4,1.0,63.249454498291016
Year2,2,24,-1,False,False,0.15255000000000002,0.252,0.1005,14,3,0,0.0,nan
Year2,2,25,25,True,False,0.15255000000000002,0.252,0.1005,8,4,4,1.0,0.0
Year2,2,26,7,False,True,0.15255000000000002,0.252,0.1005,25,17,0,0.0,nan
Year2,2,27,-1,False,False,0.15255000000000002,0.252,0.1005,5,1,0,0.0,nan
Year2,2,28,-1,False,False,0.15255000000000002,0.252,0.1005,1,0,0,0.0,nan
Year2,2,29,-1,False,False,0.15255000000000002,0.252,0.1005,11,2,0,0.0,nan
Year2,2,30,25,False,True,0.15255000000000002,0.252,0.1005,11,4,4,1.0,228.21316528320312
