Source,Destination,Relation,MeanAttention
OpenSkyScore,OdomReliability,untyped,0.185263214757045
OpenSkyScore,GPSFix,untyped,0.185262716124455
OpenSkyScore,LidarValidRatio,untyped,0.185261819571257
OpenSkyScore,LidarICPRMSE,untyped,0.185260975768169
OpenSkyScore,LiDARReliability,untyped,0.185260627577702
OpenSkyScore,LocalizationDifficulty,untyped,0.185260231792927
OpenSkyScore,GNSSReliability,untyped,0.185259420216084
OpenSkyScore,NumSV,untyped,0.185257546703021
OpenSkyScore,LidarStructure,untyped,0.185257084021966
OpenSkyScore,GPSInnovation,untyped,0.185256792744001
OpenSkyScore,OdomYawVar,untyped,0.185252465267976
OpenSkyScore,LidarInlierRatio,untyped,0.185245408475399
OpenSkyScore,OpenSkyScore,untyped,0.18522584455212
OpenSkyScore,Dynamics,untyped,0.185175377984842
OpenSkyScore,GPSSpeedResidual,untyped,0.184172690550486
OpenSkyScore,OdomCovXY,untyped,0.179807869990667
GPSFix,GPSSpeedResidual,untyped,0.11239090029647
GPSFix,OdomReliability,untyped,0.111917960626384
GPSFix,GPSFix,untyped,0.111917735320826
GPSFix,LidarValidRatio,untyped,0.111916809856892
GPSFix,LidarICPRMSE,untyped,0.111916572464009
GPSFix,LiDARReliability,untyped,0.111916024910907
GPSFix,LocalizationDifficulty,untyped,0.111915692987541
GPSFix,GNSSReliability,untyped,0.111915016680956
GPSFix,GPSInnovation,untyped,0.111913528112074
GPSFix,NumSV,untyped,0.111913391975065
GPSFix,LidarStructure,untyped,0.111913316590091
GPSFix,OdomYawVar,untyped,0.111908454574645
GPSFix,LidarInlierRatio,untyped,0.111903412458797
GPSFix,OpenSkyScore,untyped,0.111898652352393
GPSFix,Dynamics,untyped,0.111868316379686
GPSFix,OdomCovXY,untyped,0.109610871533553
OdomCovXY,OdomReliability,untyped,0.0706744655072689
OdomCovXY,GPSFix,untyped,0.0706743209163348
OdomCovXY,LidarValidRatio,untyped,0.0706736125349998
OdomCovXY,LidarICPRMSE,untyped,0.0706733314841986
OdomCovXY,LiDARReliability,untyped,0.0706729876945416
OdomCovXY,LocalizationDifficulty,untyped,0.0706727379212777
OdomCovXY,GNSSReliability,untyped,0.0706722370435794
OdomCovXY,GPSInnovation,untyped,0.0706712025950352
OdomCovXY,NumSV,untyped,0.0706710815727711
OdomCovXY,LidarStructure,untyped,0.0706710525204738
OdomCovXY,OdomYawVar,untyped,0.0706676339308421
OdomCovXY,LidarInlierRatio,untyped,0.0706644472976526
OdomCovXY,OpenSkyScore,untyped,0.0706614664296309
OdomCovXY,Dynamics,untyped,0.0706418625613054
OdomCovXY,GPSSpeedResidual,untyped,0.0703278022060792
OdomCovXY,OdomCovXY,untyped,0.0691286797374487
LidarICPRMSE,LidarInlierRatio,untyped,0.0596021358768145
LidarICPRMSE,OdomReliability,untyped,0.0595901034548879
LidarICPRMSE,GPSFix,untyped,0.0595899908915162
LidarICPRMSE,LidarValidRatio,untyped,0.0595894969925284
LidarICPRMSE,LidarICPRMSE,untyped,0.0595891548469663
LidarICPRMSE,LiDARReliability,untyped,0.0595890017325679
LidarICPRMSE,LocalizationDifficulty,untyped,0.0595888091524442
LidarICPRMSE,GNSSReliability,untyped,0.059588409456114
LidarICPRMSE,Dynamics,untyped,0.059588137904803
LidarICPRMSE,GPSInnovation,untyped,0.0595876783405741
LidarICPRMSE,LidarStructure,untyped,0.059587644500037
LidarICPRMSE,NumSV,untyped,0.0595874991541107
LidarICPRMSE,OdomYawVar,untyped,0.0595846219609181
LidarICPRMSE,OpenSkyScore,untyped,0.0595799291804433
LidarICPRMSE,GPSSpeedResidual,untyped,0.0593574005290866
LidarICPRMSE,OdomCovXY,untyped,0.0590247340872884
GPSSpeedResidual,OdomCovXY,untyped,0.0585375424598654
