Model,PositionRMSE_m,PositionMAE_m,PositionP95_m,YawRMSE_deg,FailureRate_pct,MeanNEES2D,MeanParticles,MaxParticles,MeanRuntime_ms,P95Runtime_ms,RealTimeFactor
PF-Fixed,6.04615898038423,5.42126375032106,8.30614996385488,12.1840103726005,55.4666666666667,112.184403806876,1000,1000,0.540487466666666,0.731999999999999,370.036420857584
PF-Adaptive,6.2556540842666,5.46840328904874,9.00171901816256,14.4395179470797,55.8666666666667,119.344395652438,1007.3,1975,0.477041866666667,0.778924999999999,419.250513757246
Ontology-Rule-PF,9.68309594637814,8.44927809002808,14.2285376501398,32.68393882461,69.0666666666667,973.763899432993,3497.012,3500,1.47260373333333,1.956015,135.813894231412
GAT-PF,4.83459996968462,4.62004423886059,6.664734687746,7.96711614789498,40.9333333333333,41.17755338341,3497.31333333333,3500,1.42326573333333,1.96481,140.52192995282
Ontology-RGAT-PF,4.85378141360096,4.61581355298262,6.79668724231174,10.8121541662213,44.2666666666667,34.678471222175,3497.60266666667,3500,1.4038592,2.02994,142.464463447414
Ontology-TAGAT-PF,4.89622892744632,4.60506673504366,6.86145347177559,9.46895877688381,51.7333333333333,27.7163947203827,3497.72933333333,3500,1.659814,2.22257,120.49545773425
