epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4248,1.79075,2.09912,0.00882,0.50151,0.63636,0.51265,0.20088,1.67952,1.91953,0.01037,0.000622222,0.000622222,0.000622222
2,4.48778,1.76025,2.12257,0.00921,0.4821,0.50909,0.43254,0.19306,1.49602,2.02532,0.00913,0.00124636,0.00124636,0.00124636
3,6.61613,1.87041,2.20046,0.00983,0.326,0.49091,0.35479,0.1236,1.72544,2.25698,0.01,0.00182649,0.00182649,0.00182649
4,8.65223,1.95155,2.15551,0.00953,0.4031,0.54545,0.36976,0.13351,1.76568,2.34041,0.01045,0.001802,0.001802,0.001802
5,10.6887,1.80915,2.16716,0.00861,0.27469,0.58182,0.29313,0.10821,1.72751,2.97205,0.01047,0.001736,0.001736,0.001736
6,12.7394,1.82504,1.99284,0.00922,0.44596,0.54545,0.50915,0.17315,1.69997,2.51863,0.01043,0.00167,0.00167,0.00167
7,14.7825,1.75638,1.88896,0.0089,0.64209,0.61818,0.62336,0.23354,1.58227,2.71667,0.00939,0.001604,0.001604,0.001604
8,16.9713,1.74767,1.82465,0.00834,0.66308,0.69091,0.7453,0.33843,1.67966,1.66505,0.01023,0.001538,0.001538,0.001538
9,19.0711,1.69045,1.92026,0.00833,0.73877,0.61818,0.76158,0.37061,1.55816,1.55459,0.00955,0.001472,0.001472,0.001472
10,21.1647,1.72143,1.78719,0.00846,0.44225,0.82177,0.66871,0.28478,1.70166,1.75028,0.01094,0.001406,0.001406,0.001406
11,23.1958,1.79819,1.80699,0.00938,0.63779,0.86448,0.74991,0.26354,1.71157,1.50809,0.01072,0.00134,0.00134,0.00134
12,25.2404,1.68947,1.83206,0.00905,0.77202,0.72727,0.82735,0.4026,1.41456,1.389,0.00819,0.001274,0.001274,0.001274
13,27.4101,1.65033,1.76985,0.00849,0.77556,0.70909,0.79759,0.41345,1.38244,1.30638,0.00807,0.001208,0.001208,0.001208
14,29.5032,1.57097,1.5514,0.00801,0.74708,0.83636,0.84571,0.36881,1.42031,1.40016,0.00827,0.001142,0.001142,0.001142
15,31.5298,1.62152,1.60517,0.00786,0.63846,0.78182,0.75915,0.39153,1.4193,1.31943,0.00833,0.001076,0.001076,0.001076
16,33.571,1.55535,1.44079,0.00782,0.61925,0.87273,0.81617,0.43766,1.51151,1.12536,0.00895,0.00101,0.00101,0.00101
17,35.656,1.63231,1.42496,0.00771,0.79411,0.67273,0.85139,0.48516,1.3888,1.11836,0.00822,0.000944,0.000944,0.000944
18,37.819,1.55629,1.49825,0.00838,0.78476,0.72924,0.83877,0.4438,1.33743,1.18672,0.0083,0.000878,0.000878,0.000878
19,39.8358,1.52519,1.45378,0.00746,0.73478,0.74545,0.84132,0.45345,1.33073,1.18355,0.00822,0.000812,0.000812,0.000812
20,41.8836,1.55781,1.45387,0.00745,0.76269,0.78182,0.81767,0.41798,1.32226,1.30625,0.00791,0.000746,0.000746,0.000746
21,44.526,1.53775,1.2293,0.00873,0.80285,0.81453,0.88478,0.49382,1.46383,1.06257,0.00906,0.00068,0.00068,0.00068
22,46.6308,1.54277,1.13917,0.00906,0.78581,0.89091,0.88592,0.50197,1.4476,0.98336,0.00892,0.000614,0.000614,0.000614
23,48.8275,1.46292,1.12959,0.00795,0.81344,0.81818,0.9219,0.53896,1.31757,0.92417,0.00823,0.000548,0.000548,0.000548
24,50.9371,1.46601,0.99537,0.0082,0.89322,0.83636,0.94742,0.56334,1.36213,0.88133,0.00835,0.000482,0.000482,0.000482
25,53.0784,1.41196,0.97016,0.0077,0.92263,0.86735,0.96589,0.57171,1.39418,0.83627,0.00853,0.000416,0.000416,0.000416
26,55.1632,1.43237,0.95076,0.00775,0.97491,0.92727,0.97732,0.56579,1.3921,0.82376,0.0084,0.00035,0.00035,0.00035
27,57.1866,1.44803,0.91816,0.00857,0.96831,0.92727,0.97838,0.55264,1.33994,0.90117,0.00814,0.000284,0.000284,0.000284
28,59.2859,1.37396,1.02675,0.00714,0.97061,0.90909,0.97747,0.55618,1.30792,0.90127,0.00812,0.000218,0.000218,0.000218
29,61.3134,1.35774,0.93866,0.00771,0.97103,0.89091,0.97347,0.56014,1.30255,0.88545,0.00799,0.000152,0.000152,0.000152
30,63.3457,1.36808,1.03695,0.0072,0.94917,0.89091,0.97318,0.56914,1.3033,0.86367,0.00797,8.6e-05,8.6e-05,8.6e-05
