epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8049,1.26919,0.79474,0.00556,0.95937,0.87139,0.92313,0.58658,1.33525,0.55699,0.00773,0.000663623,0.000663623,0.000663623
2,53.5694,1.28771,0.75162,0.00548,0.96709,0.89663,0.93245,0.6293,1.18099,0.49831,0.00693,0.00128639,0.00128639,0.00128639
3,79.7453,1.31061,0.75398,0.00569,0.955,0.89276,0.94147,0.64833,1.12246,0.49546,0.00642,0.00186516,0.00186516,0.00186516
4,105.407,1.34801,0.79159,0.00586,0.93671,0.88947,0.92357,0.61741,1.19541,1.43075,0.00701,0.001802,0.001802,0.001802
5,131.19,1.31605,0.76136,0.00572,0.94587,0.89423,0.92758,0.60816,1.19565,0.49438,0.00747,0.001736,0.001736,0.001736
6,157.286,1.32715,0.77987,0.00573,0.96796,0.89663,0.94248,0.61583,1.2499,0.52832,0.00744,0.00167,0.00167,0.00167
7,183.623,1.26787,0.71866,0.00543,0.96576,0.90144,0.93932,0.65055,1.12583,0.46931,0.00621,0.001604,0.001604,0.001604
8,208.983,1.28161,0.70558,0.00555,0.96462,0.88481,0.93049,0.6222,1.1851,0.524,0.00745,0.001538,0.001538,0.001538
9,234.64,1.23419,0.67989,0.00524,0.95792,0.90284,0.94812,0.64959,1.08218,0.4768,0.00613,0.001472,0.001472,0.001472
10,260.355,1.21498,0.71038,0.0051,0.93983,0.89423,0.93322,0.65281,1.11051,0.47062,0.00632,0.001406,0.001406,0.001406
11,285.689,1.17624,0.66615,0.00489,0.9737,0.91106,0.94998,0.68182,1.0232,0.39809,0.00593,0.00134,0.00134,0.00134
12,311.451,1.1705,0.68185,0.00507,0.97285,0.9043,0.94065,0.67141,1.09597,0.43325,0.00613,0.001274,0.001274,0.001274
13,337.236,1.15908,0.6755,0.00487,0.96882,0.89643,0.94454,0.66835,1.07607,0.44466,0.00613,0.001208,0.001208,0.001208
14,362.881,1.13479,0.65249,0.00475,0.97408,0.90354,0.94523,0.67284,1.01266,0.39184,0.00604,0.001142,0.001142,0.001142
15,388.206,1.12722,0.6332,0.00467,0.97324,0.91784,0.95536,0.69482,0.96885,0.37861,0.00533,0.001076,0.001076,0.001076
16,414.016,1.1064,0.61772,0.00457,0.96111,0.92087,0.95228,0.69653,0.97894,0.3742,0.00549,0.00101,0.00101,0.00101
17,439.712,1.07137,0.58954,0.00436,0.97289,0.91226,0.95865,0.69825,0.98771,0.37902,0.00546,0.000944,0.000944,0.000944
18,465.407,1.08976,0.59574,0.00449,0.98439,0.90947,0.95869,0.68568,1.03914,0.39013,0.00578,0.000878,0.000878,0.000878
19,490.819,1.07045,0.61871,0.00443,0.96568,0.91308,0.95545,0.71285,0.92821,0.36619,0.00511,0.000812,0.000812,0.000812
20,516.559,1.06065,0.5865,0.00436,0.9721,0.92141,0.95819,0.69129,1.01512,0.37569,0.00573,0.000746,0.000746,0.000746
21,542.407,0.95696,0.42119,0.00443,0.99099,0.90385,0.95746,0.71115,0.94408,0.36095,0.00511,0.00068,0.00068,0.00068
22,567.75,0.94766,0.39242,0.00421,0.97817,0.91536,0.95551,0.68966,1.01963,0.37103,0.00548,0.000614,0.000614,0.000614
23,593.002,0.93086,0.39057,0.00416,0.98004,0.91947,0.96014,0.71571,0.92258,0.35028,0.00511,0.000548,0.000548,0.000548
24,618.404,0.91377,0.38437,0.00409,0.97806,0.92308,0.9593,0.71094,0.95669,0.3516,0.00528,0.000482,0.000482,0.000482
25,643.698,0.91063,0.39367,0.0041,0.97194,0.91585,0.96007,0.71009,0.97884,0.3685,0.00526,0.000416,0.000416,0.000416
26,669.002,0.90196,0.38539,0.00398,0.98209,0.92276,0.96013,0.72134,0.89655,0.34798,0.00494,0.00035,0.00035,0.00035
27,694.489,0.88348,0.3804,0.00396,0.98329,0.91941,0.95929,0.70554,0.95385,0.34846,0.00525,0.000284,0.000284,0.000284
28,719.74,0.87211,0.36703,0.00388,0.98587,0.92266,0.96165,0.71034,0.95909,0.34729,0.00511,0.000218,0.000218,0.000218
29,744.974,0.86988,0.3663,0.00378,0.98205,0.92079,0.96172,0.72285,0.90239,0.33178,0.00494,0.000152,0.000152,0.000152
30,770.408,0.8607,0.36687,0.00378,0.97487,0.92428,0.96136,0.72071,0.90189,0.3355,0.00494,8.6e-05,8.6e-05,8.6e-05
