Epoch,Loss,ValAUROC,ValNLL
1,1.15973171986729,0.482072368421053,1.11493428220289
2,0.866755752678377,0.680879934210526,1.1716277100475
3,0.74506155769509,0.763678728070175,1.19789288554284
4,0.682210637144296,0.787253289473684,1.23588794145096
5,0.657159178012825,0.803604714912281,1.25254173380619
6,0.640973069581641,0.74000822368421,1.28975510343843
7,0.63893322915916,0.768708881578947,1.27383059964982
8,0.624013093939747,0.848094846491228,1.26457159062766
9,0.626923975456192,0.805386513157895,1.35674502837426
10,0.61775743422738,0.774835526315789,1.39459272633464
11,0.610317845301456,0.748958333333333,1.36127197023316
12,0.59021938242108,0.78655427631579,1.32316536063238
13,0.579585135342127,0.807881030701754,1.3167897493683
14,0.576654806553599,0.746779057017544,1.46753614312804
15,0.566699168050146,0.782277960526316,1.35735995835564
16,0.539499485708145,0.745024671052632,1.4666418805625
