Time,ESS,Particles,Runtime_ms,rGNSS,rLiDAR,rOdom,Difficulty,lambdaMotion,lambdaGNSS,lambdaLiDAR,lambdaBroad,sigmaGNSS,sigmaLiDAR,sigmaLiDARYaw
0,819.386715500224,850,3.4338,1,0,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.200000047683716,815.270139093574,1101,3.6623,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.400000095367432,1113.19433437671,1370,1.3301,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.599999904632568,908.088851017671,1084,0.6033,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.799999952316284,921.602214972737,1053,1.4724,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1,882.485831616217,1006,0.4674,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.20000004768372,876.468459608144,1003,0.4184,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.40000009536743,876.983455271936,1008,0.4213,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.59999990463257,884.836393203561,1012,0.3832,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.79999995231628,872.283267381625,1007,0.3797,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2,892.700294760244,1017,0.7558,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.20000004768372,875.459005385114,1003,0.4706,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.40000009536743,876.910213859672,1009,0.4071,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.59999990463257,895.858730092704,1014,0.5498,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.79999995231628,869.887709888804,996,0.4315,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3,883.259808140173,1008,0.4166,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.20000004768372,886.950204849137,1005,0.3825,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.40000009536743,875.368674051271,997,0.4971,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.59999990463257,884.704308236845,1002,0.5981,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.79999995231628,859.104128072999,996,0.5415,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4,906.988667556483,1022,0.8238,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.20000004768372,874.694365175497,991,0.5806,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.40000009536743,879.679101119831,997,0.4438,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.59999990463257,891.929196907119,997,0.4553,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.79999995231628,857.724483749698,982,0.3887,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5,888.250827970699,1008,0.3933,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.20000004768372,867.797603230601,998,0.4134,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.40000009536743,887.659129123981,1013,0.4688,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.59999990463257,885.692617066905,1005,0.4252,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.79999995231628,874.393891467744,998,0.3907,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6,894.252668284715,1005,0.5445,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.20000004768372,878.90007703351,988,0.4136,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.40000009536743,866.605682446797,988,0.3937,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.59999990463257,886.31619474135,1004,0.3837,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.79999995231628,878.113371441564,997,0.3962,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7,888.358332232385,999,0.384,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.20000004768372,870.820280210953,988,0.3776,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.40000009536743,882.517798365175,998,0.3736,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.59999990463257,875.399763303571,995,0.3818,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.79999995231628,887.061468119108,1000,0.3524,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8,875.127648017813,991,0.47,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.20000004768372,885.277900407527,996,0.4126,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.40000009536743,867.729582525527,989,0.5482,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.59999990463257,893.177551173735,1003,0.3874,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.79999995231628,872.684729806018,987,0.3763,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9,878.900483235215,995,0.3624,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.20000004768372,884.420496030764,996,0.3864,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.40000009536743,875.249651286048,990,0.3768,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.59999990463257,875.924589648484,995,0.3878,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.79999995231628,879.818759111875,1000,0.3784,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10,878.072479555328,1000,0.5755,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.2000000476837,891.218264592631,1002,0.4511,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.4000000953674,871.631466227056,988,0.4123,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.5999999046326,888.137357397867,997,0.5564,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.7999999523163,874.468489723805,986,0.4416,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
11,871.838514828693,991,0.4012,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
11.2000000476837,875.778924965733,1000,0.3694,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
