Time,GT_X,GT_Y,GT_Yaw,Est_X,Est_Y,Est_Yaw
0,-60.6554508885165,-124.811808530068,-1.62641271710029,-60.46712307163,-124.615393486166,-1.70887066943256
0.200000047683716,-60.6681756250173,-125.066451553277,-1.63449582911795,-60.6518307066478,-124.788900112729,-1.71937008354403
0.400000095367432,-60.6897814571158,-125.325261785086,-1.66597409866725,-60.4727396425302,-125.024476273165,-1.7532631125043
0.599999904632568,-60.7133726165002,-125.593220969411,-1.65274337630983,-60.3813824491217,-125.146015687197,-1.74991923711175
0.799999952316284,-60.7333402999626,-125.870520866866,-1.63574535944066,-60.4726883149142,-125.290873340943,-1.74901324176762
1,-60.7501183130791,-126.139466153148,-1.63980497456,-60.6041617041078,-125.553676797096,-1.75103257554511
1.20000004768372,-60.7682708508127,-126.396350655104,-1.64891427531452,-60.6360550314506,-125.817246796439,-1.75707344502812
1.40000009536743,-60.7887613552437,-126.654208243382,-1.65345196981911,-60.6521980951512,-126.071893226878,-1.76421161901487
1.59999990463257,-60.8091106058244,-126.919346600152,-1.64835224588925,-60.6002867877992,-126.341052927082,-1.76597100535089
1.79999995231628,-60.8280165404889,-127.197987512148,-1.63251460883576,-60.5493596076519,-126.522962073769,-1.75584698577002
2,-60.8399892294242,-127.478078701756,-1.60878076107616,-60.5930046724887,-126.808887326124,-1.73409383683765
2.20000004768372,-60.8468699645728,-127.758222404801,-1.59788341518336,-60.6005985880656,-127.058168036499,-1.71778399000617
2.40000009536743,-60.8518669180116,-128.042086658052,-1.59288576215139,-60.6085863742502,-127.346926961872,-1.72090853522712
2.59999990463257,-60.8556872899733,-128.334456093872,-1.59571299330041,-60.6175114157072,-127.619590335338,-1.72568153829669
2.79999995231628,-60.8624504686436,-128.636370192492,-1.60153203611883,-60.5667913207324,-127.833360890361,-1.73772604808719
3,-60.8686199165151,-128.934333228309,-1.60124077983971,-60.596659396315,-128.141519173783,-1.74000694596676
3.20000004768372,-60.8764397980505,-129.22596704384,-1.61117728173502,-60.5591563276196,-128.435993043831,-1.74599416159154
3.40000009536743,-60.8850759874769,-129.487225491275,-1.60724889535972,-60.5836248188315,-128.720376253154,-1.74568530680334
3.59999990463257,-60.8939662226633,-129.76055071146,-1.60541365806533,-60.6623438419384,-128.965392329116,-1.75095129839981
3.79999995231628,-60.9036698013284,-130.038438219293,-1.60448781458609,-60.5926195263076,-129.280800400509,-1.75207824419127
4,-60.9094367032708,-130.318281596855,-1.58461163779754,-60.6536352502138,-129.546123785662,-1.73260743358367
4.20000004768372,-60.9116711969994,-130.591497261856,-1.57916603054855,-60.6624259228337,-129.843154855064,-1.73457780435232
4.40000009536743,-60.9127381808732,-130.850954768869,-1.57085972205118,-60.6541282775601,-130.046079874585,-1.72287707522704
4.59999990463257,-60.9111709184407,-131.109322876548,-1.56991140835723,-60.7502683867713,-130.314186496177,-1.72747610599282
4.79999995231628,-60.9129134918315,-131.377348402032,-1.58428658364634,-60.6310960381998,-130.556243068525,-1.74086526076854
5,-60.9143733467346,-131.652277265063,-1.57352639763678,-60.6688430124376,-130.769644395333,-1.72689214573749
5.20000004768372,-60.9159096838213,-131.927492258527,-1.58506528933539,-60.6732234006113,-131.055612174447,-1.73246200641291
5.40000009536743,-60.9201392922236,-132.199526457198,-1.58502791555986,-60.6610634734205,-131.341168662116,-1.73448892791801
5.59999990463257,-60.9230996330696,-132.469300201028,-1.58617129817328,-60.7342188132691,-131.617514290043,-1.73728224243503
5.79999995231628,-60.9303900020369,-132.747577656109,-1.60823474160312,-60.644673279835,-131.891538415094,-1.76630212790609
6,-60.9411618085458,-133.038467994515,-1.60646760541469,-60.6441818001158,-132.18548709133,-1.76964838484616
6.20000004768372,-60.9533095382812,-133.329920313659,-1.62099286901715,-60.6933762729923,-132.472409562641,-1.77869903499205
6.40000009536743,-60.9687433246481,-133.611042485011,-1.6236357298423,-60.67127483408,-132.74791452039,-1.78489976336203
6.59999990463257,-60.9809369802905,-133.885205559551,-1.60970625639383,-60.7631361667866,-132.97464066858,-1.77093357024225
6.79999995231628,-60.9928131394062,-134.164549352864,-1.61649673962111,-60.7461275278363,-133.243518655191,-1.77990750840465
7,-61.0032337841994,-134.42737512189,-1.60007048015975,-60.7575262322635,-133.530276126269,-1.76030347032407
7.20000004768372,-61.0116034457513,-134.715915063089,-1.59619753230812,-60.7497299034031,-133.81961564007,-1.76425625080927
7.40000009536743,-61.0186787324598,-134.995206111158,-1.58784734314663,-60.7222432874562,-134.04687113357,-1.75406268802732
7.59999990463257,-61.0212769790161,-135.270177200263,-1.57310427679647,-60.7761387939788,-134.236636883014,-1.74487791076893
7.79999995231628,-61.0231766253943,-135.549294977457,-1.58092682177133,-60.7287028119124,-134.518577422621,-1.75134170956625
8,-61.0249744463121,-135.839273770401,-1.56933957999089,-60.7189332843213,-134.819842652646,-1.73425949333487
8.20000004768372,-61.0244747719785,-136.137638950573,-1.57096326909997,-60.7505175340793,-135.124336028607,-1.73730447839305
8.40000009536743,-61.0265597494947,-136.431569975557,-1.57749642825856,-60.7110355357951,-135.420947723848,-1.74210000746469
8.59999990463257,-61.0279409134692,-136.703743085718,-1.57440380915688,-60.7405427294521,-135.64340666305,-1.74718838873564
8.79999995231628,-61.0319259537835,-136.97496732351,-1.59494767127241,-60.7242427083818,-135.870651926798,-1.77978663608534
9,-61.0384414619816,-137.255116426689,-1.5866164459681,-60.734125244205,-136.123174259496,-1.76641559509312
9.20000004768372,-61.0438991876746,-137.547428581115,-1.59653329210185,-60.7780587118579,-136.446346613856,-1.76880589566843
9.40000009536743,-61.0546548600174,-137.839497875429,-1.60729344742159,-60.7022911910274,-136.654869808491,-1.78923440204361
