Epoch,Loss,ValAUROC,ValNLL
1,0.69573236229908,0.60249451754386,0.92238323538957
2,0.610507693635412,0.634155701754386,0.9543313850419
3,0.595097547913172,0.634786184210526,1.01910299584212
4,0.58881027906774,0.654632675438596,0.922966328973193
5,0.58298918102161,0.656263706140351,0.906380289675994
6,0.581232487437237,0.673040021929824,0.859840792198244
7,0.580551126635218,0.668612938596491,0.960549414419338
8,0.582075504653425,0.678166118421053,0.915789532236174
9,0.581931072545339,0.685348135964912,0.914253565292946
10,0.583782594247037,0.67406798245614,0.927361464500529
11,0.580533888684698,0.668242872807018,0.929326070648837
12,0.5776341945292,0.655838815789474,0.994326653092357
13,0.574453572192824,0.658100328947368,0.998062352234525
14,0.573144986327872,0.646326754385965,1.09922425288899
15,0.570507157638849,0.662678179824561,0.994110207974479
16,0.568115270999541,0.643037280701754,1.05594328367538
17,0.567184382892517,0.64702576754386,1.04034592288916
