Epoch,Loss,ValAUROC,ValNLL
1,1.49636677230697,0.438569078947368,0.921950154798855
2,1.37995258153203,0.550575657894737,1.04134497823187
3,1.34662370509412,0.554989035087719,1.1255446332771
4,1.32261336424265,0.543873355263158,1.15635530831175
5,1.28459210711789,0.53984375,1.13623576183922
6,1.20157767922045,0.562212171052632,1.14533266560839
7,1.12609636209097,0.584512061403509,1.09475708447049
8,1.0850094951779,0.593544407894737,1.14440937423499
9,1.0642702572317,0.588870614035088,1.31626878847904
10,1.03600772676698,0.576192434210526,1.19327977558364
11,1.00010557059782,0.579139254385965,1.21528178230958
12,0.966258211308215,0.577823464912281,1.2348086787256
13,0.95102821200727,0.569476425438596,1.29209688059595
14,0.928067973579269,0.557264254385965,1.41088492801419
15,0.924081592674715,0.559388706140351,1.3819997732165
16,0.903628437633974,0.586951754385965,1.34067612897127
