Epoch,Loss,ValAUROC,ValNLL
1,0.496839755629919,0.592434210526316,1.6374821733805
2,0.297007782541844,0.563089364035088,2.47101203017813
3,0.223011234438563,0.563884320175439,2.47342047876454
4,0.151478309543377,0.608209978070175,2.34947435493761
5,0.113426825345819,0.61859923245614,2.6022617377691
6,0.0926261308591768,0.610019188596491,2.63028823031897
7,0.0793599554573197,0.608004385964912,3.02007224252339
8,0.0695625392899635,0.594832785087719,3.06803405020729
9,0.0732769066221025,0.62312225877193,3.17050377189363
10,0.0588074987950589,0.610389254385965,3.21355408053415
11,0.0451652442739087,0.619723135964912,3.24282038411164
12,0.0452016234336174,0.600137061403509,3.42202426556086
13,0.0529841874047261,0.600740131578947,3.26247905000875
14,0.0424188071586955,0.590049342105263,3.9453930079471
15,0.0417850987679965,0.576726973684211,3.71788828989031
16,0.0314331362052001,0.571450109649123,3.53151734691855
17,0.0419151901242222,0.612472587719298,3.75668088364108
