Feature,Mean,Std,Min,Max,MissingPct
GPSFix,2.7228,0.447705635584873,2,3,0
NumSV,0,0,0,0,0
GPSInnovation,8.365696763084,3.89169239060368,0.326676214020385,17.2833170934738,0
GPSSpeedResidual,0.257510863107657,0.556424739154427,0,5,0
LidarValidRatio,0.340728584643848,0.198800897683703,0.0277520814061055,0.860314523589269,0
LidarInlierRatio,0.751274999709689,0.389134138187366,0,1,0
LidarICPRMSE,0.508033884560073,0.465966360389845,0.0748670112557122,1.4,0
LidarStructure,0.684080118295722,0.206986963473823,0.14116387748318,1,0
OdomCovXY,11.6950124589135,12.1962378077542,0.00266668211123264,36.6635024775603,0
OdomYawVar,0.000409106650989086,0.00023516839136165,1.7165191604981e-06,0.0008163762329321,0
Dynamics,0.0867741060523821,0.0748953367534439,5.47129286212626e-05,0.520242808680084,0
OpenSkyScore,0.518243980854859,0.0567104930966476,0.434583193877336,0.687996390739716,0
