epoch,virtual_year,trajectory_index,selected_reference_index,is_correct_place_match,false_place_match,environment_change_score,structural_change_score,appearance_change_score,detected_keypoint_count,raw_match_count,ransac_inlier_count,inlier_ratio,reprojection_rmse
Year2,2,0,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,1,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,2,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,3,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,4,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,5,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,6,20,False,True,0.1557,0.252,0.10400000000000001,4,4,0,0.0,nan
Year2,2,7,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,8,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,9,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,10,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,11,-1,False,False,0.1557,0.252,0.10400000000000001,1,0,0,0.0,nan
Year2,2,12,-1,False,False,0.1557,0.252,0.10400000000000001,2,1,0,0.0,nan
Year2,2,13,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,14,-1,False,False,0.1557,0.252,0.10400000000000001,1,0,0,0.0,nan
Year2,2,15,-1,False,False,0.1557,0.252,0.10400000000000001,1,0,0,0.0,nan
Year2,2,16,-1,False,False,0.1557,0.252,0.10400000000000001,3,1,0,0.0,nan
Year2,2,17,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,18,-1,False,False,0.1557,0.252,0.10400000000000001,2,2,0,0.0,nan
Year2,2,19,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,20,-1,False,False,0.1557,0.252,0.10400000000000001,7,1,0,0.0,nan
Year2,2,21,-1,False,False,0.1557,0.252,0.10400000000000001,4,3,0,0.0,nan
Year2,2,22,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,23,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,24,8,False,True,0.1557,0.252,0.10400000000000001,7,4,4,1.0,0.0
Year2,2,25,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
Year2,2,26,1,False,True,0.1557,0.252,0.10400000000000001,17,4,4,1.0,0.0
Year2,2,27,8,False,True,0.1557,0.252,0.10400000000000001,6,5,0,0.0,nan
Year2,2,28,-1,False,False,0.1557,0.252,0.10400000000000001,0,0,0,0.0,nan
