epoch,trajectory_index,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,trajectory_progress
Year0,0,12.0,0.0,45.0,0.0,0.0,83.96141246737345,0.0
Year0,1,12.748537757979067,7.076015711743504,45.0,0.0,0.0,116.11598162478556,0.03225806451612903
Year0,2,9.077704951417548,14.563830483458306,45.0,0.0,0.0,147.46648585734295,0.06451612903225806
Year0,3,0.9999126235255553,19.716596851247882,45.0,0.0,0.0,178.28270970559493,0.0967741935483871
Year0,4,-9.830733963802677,20.041314238159778,45.0,0.0,0.0,-151.27226284868772,0.12903225806451613
Year0,5,-20.439657310065073,14.226421356554182,45.0,0.0,0.0,-121.09478752708908,0.16129032258064516
Year0,6,-27.34286011386757,2.7804971075255582,45.0,0.0,0.0,-91.11613940679275,0.1935483870967742
Year0,7,-27.62802194935661,-11.856117966632668,45.0,0.0,0.0,-61.289080905803544,0.22580645161290322
Year0,8,-19.982298527039823,-25.81500147680487,45.0,0.0,0.0,-31.580135536889316,0.25806451612903225
Year0,9,-5.334165581774102,-34.819593876332185,45.0,0.0,0.0,-1.9649488077492088,0.2903225806451613
Year0,10,13.130379236584817,-35.45308060891543,45.0,0.0,0.0,27.574603688525144,0.3225806451612903
Year0,11,30.644037729399177,-26.307043495749095,45.0,0.0,0.0,57.05227915678908,0.3548387096774194
Year0,12,42.08818973381686,-8.649342863164371,45.0,0.0,0.0,86.47870271357309,0.3870967741935484
Year0,13,43.459504194737704,13.63550740768973,45.0,0.0,0.0,115.8622074005902,0.41935483870967744
Year0,14,33.15931107293306,34.883575436962786,45.0,0.0,0.0,145.20941855205882,0.45161290322580644
Year0,15,12.710509055184154,49.09087841476365,45.0,0.0,0.0,174.52566860947024,0.4838709677419355
Year0,16,-13.357354299722802,51.589141947321586,45.0,0.0,0.0,-156.18470303614095,0.5161290322580645
Year0,17,-38.49324851093835,40.49487443486568,45.0,0.0,0.0,-126.9181297361827,0.5483870967741935
Year0,18,-55.77097847086739,17.498257381539446,45.0,0.0,0.0,-97.67165329873166,0.5806451612903226
Year0,19,-59.78292415644256,-12.285703226056315,45.0,0.0,0.0,-68.44279981679429,0.6129032258064516
Year0,20,-48.26680703065109,-41.435694707362,45.0,0.0,0.0,-39.22948465315649,0.6451612903225806
Year0,21,-22.989367059276525,-62.073141134380926,45.0,0.0,0.0,-10.029938910117515,0.6774193548387096
Year0,22,10.414323278701898,-67.9811118537914,45.0,0.0,0.0,19.157348068243586,0.7096774193548387
Year0,23,43.67672365791711,-56.425675164715784,45.0,0.0,0.0,48.33367409015749,0.7419354838709677
Year0,24,67.94359045914736,-29.156890965152485,45.0,0.0,0.0,77.50016027402175,0.7741935483870968
Year0,25,76.12354951888953,7.741008379167318,45.0,0.0,0.0,106.65778008759027,0.8064516129032258
Year0,26,64.91974057549164,45.18547301330423,45.0,0.0,0.0,135.80738284953622,0.8387096774193549
Year0,27,35.970257798191305,73.33035787719734,45.0,0.0,0.0,164.9497128859535,0.8709677419354839
Year0,28,-4.267600935700502,84.14991989454161,45.0,0.0,0.0,-165.91457475006038,0.9032258064516129
Year0,29,-45.934552122586446,73.69517229599585,45.0,0.0,0.0,-136.78490129799343,0.9354838709677419
Year0,30,-78.18351032105747,43.39538839148893,45.0,0.0,0.0,-107.66075350809884,0.967741935483871
