Policy,SuccessRate,UnsafeRate,TimeoutRate,MeanTouchdownXY,MeanTouchdownVz,MeanMaxTiltDeg,MeanEnergyJ,MeanMaxAeroForce,Episodes
Manual,0,1,0,2.74572391373526,4.17165285324547,11.184862933171,222.684169968086,4.0852131505536,200
Ontology-RGAT,0,1,0,8.21020694728377,5.76370469191514,25.5119868588915,602.753218706248,8.26599567233349,200
