Policy,Seed,Success,Unsafe,Timeout,TouchdownXY,TouchdownVz,MaxTiltDeg,EnergyJ,MaxAeroForce
Manual,5000,0,1,0,0.614915439166714,3.8692270173381,12.5006970403784,103.363300640554,3.04683204647093
Manual,5001,0,1,0,1.18302031962976,3.0471140385134,10.8807421834161,116.383087885937,2.40697843489303
Manual,5002,0,1,0,0.504599784764252,4.29358320099336,8.81797775425576,76.8891721890145,3.92737004683531
Manual,5003,0,1,0,1.14318897420327,4.40231379151468,7.88007153140103,82.9689672334083,3.97784136610098
Manual,5004,0,1,0,0.560249083920343,4.52659785328622,11.7035081867478,74.9031858769092,3.99923836477884
Manual,5005,0,1,0,0.835798280842692,3.70632091418954,7.50330582727055,95.4240834782733,3.10280757124368
Manual,5006,0,1,0,12.0347547948672,6.20423792628107,17.8819897104053,728.641322290847,8.95020647262408
Manual,5007,0,1,0,9.78443305906735,6.10413402676371,13.1408846576199,690.980325215813,8.10713655170066
Manual,5008,0,1,0,8.43608863448802,5.64412903310594,9.54225432837848,669.689103644086,7.1607535605318
Manual,5009,0,1,0,0.905848807390087,3.95134840909693,3.79815820743119,84.0116699673822,3.35111504525463
Manual,5010,0,1,0,0.530200557833043,3.42691513048907,13.2835028236798,117.177494863292,2.0385035200502
Manual,5011,0,1,0,1.31433939448379,2.88030898641556,5.9669735065022,113.715807508958,2.23943559942775
Manual,5012,0,1,0,1.31427599045961,2.70389067689454,10.1792394235698,116.392116838934,2.39811687873059
Manual,5013,0,1,0,0.487145870870266,4.10401225521211,10.7367365677315,74.8262431960063,3.246907840244
Manual,5014,0,1,0,11.3277086199533,6.10833571989597,16.869950536136,670.43903747848,9.08070975528443
Manual,5015,0,1,0,8.98923008814435,6.06806809018198,10.9564093061323,613.210591788689,8.63686541719577
Manual,5016,0,1,0,1.56963895091419,4.39121354573743,7.58263883381664,72.0496645212263,4.04397312766752
Manual,5017,0,1,0,0.725547236824116,4.1860183689152,7.32571846522157,105.777782505664,3.29947298754127
Manual,5018,0,1,0,0.563216996011335,3.67515293711906,17.0761592790642,151.838704603081,2.3397559717688
Manual,5019,0,1,0,0.721674294383592,3.83377361304538,9.12184470432184,75.0629911828478,3.13340269193714
Manual,5020,0,1,0,0.825249004719306,4.3712325200142,9.66999501696434,61.2401109159291,3.93691273820193
Manual,5021,0,1,0,1.04052478007026,4.65136137178362,9.70518845620793,93.1242723001606,4.294315949578
Manual,5022,0,1,0,2.05564723398278,3.93811589372986,7.32906463121373,82.6996185906513,3.20482409096655
Manual,5023,0,1,0,1.1184719316713,3.10117457929861,17.3113875067869,157.249976524753,1.8693665851445
Manual,5024,0,1,0,2.82906746252712,3.24464687372094,25.2733564818564,190.611923178796,2.39801372959062
Manual,5025,0,1,0,1.30557892141733,4.42239801943504,14.0824787038465,558.913409362912,3.48575258762219
Manual,5026,0,1,0,0.765973872099465,3.12848786557334,10.173340846094,99.0191547991163,2.47242140014952
Manual,5027,0,1,0,1.25662539050673,2.62539617311811,8.92105237608904,108.346778465946,1.88864586739488
Manual,5028,0,1,0,0.907215285793268,4.97119649773393,14.090029135277,97.4088513096733,4.35789401167049
Manual,5029,0,1,0,1.05609866261178,4.20476717340605,5.77603610306854,68.4336334404896,3.3375086826643
Manual,5030,0,1,0,0.219404358358044,3.63230966067636,13.6710811732889,107.115590897227,2.51167152860765
Manual,5031,0,1,0,8.38883103355137,4.86227830702598,12.3283225036514,706.380188205362,6.56730256284916
Manual,5032,0,1,0,0.660960919829706,4.59409668582379,8.95940423006123,161.739932989127,4.17344315533467
Manual,5033,0,1,0,0.80314929296443,3.75755888399505,10.1172375834408,95.5230052379279,2.77243464844361
Manual,5034,0,1,0,0.696886568812684,3.99255791213333,8.77860139331372,71.082974505567,3.42105996577343
Manual,5035,0,1,0,1.87329950364116,4.24309174201923,11.1707390531716,76.3056897079607,3.53188634113745
Manual,5036,0,1,0,1.26820118876057,2.88499373376728,7.37540227575936,117.748126623166,1.92277749169133
Manual,5037,0,1,0,0.879809469403067,3.96122217649812,10.9972691300086,99.866210580893,3.06449158043047
Manual,5038,0,1,0,0.507340788313993,4.64214694492542,8.65747420461705,68.33439038953,4.1506004221031
Manual,5039,0,1,0,12.0748884451104,3.32317759871479,27.064724143834,554.100091419049,4.60287604580083
Manual,5040,0,1,0,1.12410882339816,4.12463221567952,5.45821721846317,75.5925272315336,3.29803271178261
Manual,5041,0,1,0,7.51464510201649,5.26697758384383,9.34751823316325,604.930310206122,5.82072816947406
Manual,5042,0,1,0,0.824603161384267,4.503852829342,6.37746437159452,75.8463790740975,4.06169342132439
Manual,5043,0,1,0,0.272829743402674,3.65894827165039,13.3842851002731,106.259421736543,2.52152772912979
Manual,5044,0,1,0,0.48312352107321,3.50657467657929,13.6284903278372,134.065534564801,2.4964180371168
Manual,5045,0,1,0,0.99961099059146,3.89568120602546,8.23376609085597,118.338752786233,3.261340870339
Manual,5046,0,1,0,1.1790001824753,4.15377732794234,7.71478543424543,77.1464097763924,3.27008532574515
Manual,5047,0,1,0,1.58682570001871,2.13035439361557,8.00986270565293,133.007993413603,2.86051595170673
Manual,5048,0,1,0,1.53217098443797,4.5705111162214,6.6927039647855,72.0008877762349,4.43616835913997
Manual,5049,0,1,0,1.07610059280278,3.29229619404434,4.77357797839139,98.4473504974587,2.49246577134865
Manual,5050,0,1,0,0.906609962405299,2.17421382548268,18.5038869302216,193.370023932168,1.72864508695618
Manual,5051,0,1,0,1.4791183072921,2.50813832085711,3.84666088187766,136.876751484878,1.62389122315286
Manual,5052,0,1,0,1.37258979306218,4.34308354017495,4.74958705015407,74.267150355611,3.86772686565238
Manual,5053,0,1,0,0.451724762587342,3.80200765720779,13.9854809876655,110.528940934978,2.53504101615518
Manual,5054,0,1,0,0.680927763094549,4.10842919980108,8.82392225127971,63.7684075434211,3.34856261443561
Manual,5055,0,1,0,1.31419944262262,3.89863359142497,7.0836344095292,89.0391704429692,3.03363043257729
Manual,5056,0,1,0,12.064512151988,4.19210177184707,28.2898500295877,1188.75103607719,10.1618931830521
Manual,5057,0,1,0,0.701174290888915,4.3998665370663,5.89554338548554,84.9093202646921,3.94634516415674
Manual,5058,0,1,0,1.21062342376812,4.3577734470851,9.13200194745549,82.0182753762465,3.52089400401023
Manual,5059,0,1,0,1.20434740547661,3.97079572476758,5.88276099810436,84.24170587271,3.59048516282007
Manual,5060,0,1,0,0.730635302473771,4.21556331857543,6.66711611209468,102.617340626715,3.58125713966129
Manual,5061,0,1,0,1.00925728020495,3.41722669900545,7.55180251611395,134.238003743632,2.67280376864889
Manual,5062,0,1,0,12.0346083136602,4.20596720305887,30.5620896302078,592.830641621662,7.67946862109778
Manual,5063,0,1,0,2.83310986552087,4.69444817290823,8.03077456989138,81.4231071691506,4.74413905355552
Manual,5064,0,1,0,2.06633295968719,4.14338822063096,13.9991090290481,112.44404194359,3.13027888394936
Manual,5065,0,1,0,1.06503925370926,3.3855309520598,5.6371317733453,103.338547435703,2.66438508339249
Manual,5066,0,1,0,1.0439027233749,4.3661415441874,3.87762395524484,65.5303697238035,4.45226550467353
Manual,5067,0,1,0,0.438979877533668,4.03116584033822,9.60497666635067,77.4800323580924,3.34413527947377
Manual,5068,0,1,0,1.41666666644127,5.1857075667228,11.961040018233,85.2637032343422,4.32173272023201
Manual,5069,0,1,0,0.143384917736029,5.4656597313754,9.89250125108786,690.785399481983,4.19977355593205
Manual,5070,0,1,0,0.801913739799879,1.61242756855094,16.3211559292419,198.503537489546,1.24238219973326
Manual,5071,0,1,0,0.710179626016255,3.88475206312632,12.307589796342,101.358318450631,2.65200408009855
Manual,5072,0,1,0,2.49925073317711,4.69310256123401,6.1165077343937,59.001929346867,4.53986253486328
Manual,5073,0,1,0,12.0001963500739,3.84481117235522,23.8937712338155,566.925546457004,5.26776756955779
Manual,5074,0,1,0,0.59334669406151,3.97446825993799,11.3357699448901,72.1710266319079,3.28725817936973
Manual,5075,0,1,0,12.1221297010365,3.79656842144741,27.9022484487367,1183.13930108091,7.5084228221391
Manual,5076,0,1,0,0.675728129205515,4.28960680802362,4.76443574520375,69.0049440297777,3.57644692323972
Manual,5077,0,1,0,10.9938900748609,4.56236215608475,25.26426939012,1118.6285271368,7.42494309799899
Manual,5078,0,1,0,2.99564168944673,5.04427998305052,14.6575259463377,66.4123923178298,3.88671056469123
Manual,5079,0,1,0,0.826663200935687,3.81062176633925,12.2234165952945,79.9069600674091,3.05750728709906
Manual,5080,0,1,0,0.340747195329941,4.15231061007559,7.46852291369333,73.0388696066327,3.43702037585082
Manual,5081,0,1,0,6.35893101649242,3.83273038375515,4.80361818530213,489.175665128748,3.77804502129471
Manual,5082,0,1,0,0.15518652754531,3.58182326066009,15.2707040746513,137.951763696311,2.3539282854457
Manual,5083,0,1,0,0.667686021336512,4.36894062868742,5.84047480300768,68.7891145794635,4.24400966767179
Manual,5084,0,1,0,0.194452547609156,3.16789897942361,11.7715663469492,136.361754060852,2.27482376961133
Manual,5085,0,1,0,3.36861500980779,4.7776479317329,12.5744119223039,87.9255670338964,4.62040057969033
Manual,5086,0,1,0,0.921018826629586,4.02638600412483,9.72226248063077,82.511541072994,3.16219796675604
Manual,5087,0,1,0,7.59749235189039,2.63138065761368,14.6331288229033,750.955435128541,5.6185255055898
Manual,5088,0,1,0,12.0457517088457,4.86264031763824,27.5145786686011,617.270436724031,8.06741322922608
Manual,5089,0,1,0,9.16728283156882,6.15953480646272,9.79664477888479,590.519259531255,8.83949711315006
Manual,5090,0,1,0,8.90779589732474,5.74687510138746,11.2620512727133,686.618406205364,7.4946652827176
Manual,5091,0,1,0,9.45454469638992,5.67554132946631,14.0093067092695,718.189990779551,7.90759053398634
Manual,5092,0,1,0,10.3894812377541,6.1039591114705,15.2179433776025,754.695162380855,8.25963958527957
Manual,5093,0,1,0,7.90096385737619,4.88545327819344,10.3462610946731,683.825013897344,6.61483172391226
Manual,5094,0,1,0,12.0754873904612,6.22395213859538,16.8211552997005,740.223939597755,9.12340576697177
Manual,5095,0,1,0,0.875065159619494,2.47744314520857,13.8901229899318,164.664315901011,1.84243381617929
Manual,5096,0,1,0,1.21747053010116,4.0201511796355,6.67198445737824,76.8779835479725,3.48921207490067
Manual,5097,0,1,0,0.978628496661311,3.7797795180505,6.07923351159849,124.006096109567,3.32637815306093
Manual,5098,0,1,0,1.46998118928765,3.84386379434824,12.4246104012618,118.91458580877,3.33485118606093
Manual,5099,0,1,0,0.816588230125279,4.30763377899959,11.1838872502913,74.5518089992392,3.61062609996967
Manual,5100,0,1,0,1.76200438169949,4.75274786677709,11.9391858206503,76.7389016742417,4.05046349801359
Manual,5101,0,1,0,0.580422282695863,4.54529699300603,10.4312584441745,110.185605462894,3.96931883827621
Manual,5102,0,1,0,0.492051923348359,4.07710010190591,8.47857292063614,76.2056352722076,3.5964505784763
Manual,5103,0,1,0,1.70960144588953,4.66080859992966,7.17508906488264,68.2026094374125,4.42702726630226
Manual,5104,0,1,0,12.1033397270919,5.12229998528331,25.6637775987395,620.189787773273,8.63959744954563
