Metric,MeanDifference,CI95Low,CI95High
Success,0,0,0
Unsafe,0,0,0
Timeout,0,0,0
TouchdownXY,5.46448303354852,4.80203241919713,6.1269336478999
TouchdownVz,1.59205183866967,1.37912416357839,1.80497951376095
MaxTiltDeg,14.3271239257205,12.1976062666668,16.4566415847742
EnergyJ,380.069048738162,344.454323864929,415.683773611395
MaxAeroForce,4.18078252177989,3.78419468618765,4.57737035737212
