Model,PositionRMSE_m,PositionMAE_m,PositionP95_m,YawRMSE_deg,FailureRate_pct,MeanNEES2D,MeanParticles,MaxParticles,MeanRuntime_ms,P95Runtime_ms,RealTimeFactor
PF-Fixed,5.22873162646513,5.10710230694103,6.18954402103141,20.0377507809546,70,89.9566736346038,150,150,0.716393333333333,2.16817,279.176310523617
PF-Adaptive,5.11520080037055,4.92245450353576,6.12707962731984,20.0851350111699,68.8888888888889,83.3452375788892,298,300,0.358732222222222,0.68194,557.519049849452
Ontology-Rule-PF,5.35991086476619,5.25826194566085,6.18570664221379,20.1969077108672,70,521.305463658557,300,300,0.469992222222222,0.829235,425.539058365846
GAT-PF,3.5814937122414,3.47601588000294,4.48024735121959,20.0854000668261,0,39.3447723808826,300,300,0.302501111111111,0.47436,661.154753941562
Ontology-RGAT-PF,2.68327859205542,2.51766743839905,4.23070436070771,19.5581585036747,0,33.0500599607224,300,300,0.294796666666667,0.470175,678.433884430113
Ontology-TAGAT-PF,5.09278759344947,4.97313334638285,6.0588728313132,20.1219250612054,66.6666666666667,88.0913109928987,300,300,0.255925555555556,0.27761,781.477438818338
