Feature,Mean,Std,Min,Max,MissingPct
GPSFix,3,0,3,3,0
NumSV,0,0,0,0,0
GPSInnovation,2.19915421035076,0.983859254017319,0.326676214020385,4.08208419482947,0
GPSSpeedResidual,0.270802533196077,0.240028406280487,0,1.27288794514429,0
LidarValidRatio,0.174890533456676,0.155419169732738,0.0277520814061055,0.595744680851064,0
LidarInlierRatio,0.357311032935898,0.452472318128652,0,1,0
LidarICPRMSE,0.947139466216023,0.571878889789976,0.0821451680000166,1.4,0
LidarStructure,0.620560174659346,0.227782024366809,0.14116387748318,1,0
OdomCovXY,0.111935648344096,0.0809406443261153,0.00266668211123264,0.247498055567694,0
OdomYawVar,5.03781233136769e-05,2.80629663029158e-05,1.7165191604981e-06,9.90396285147572e-05,0
Dynamics,0.0779199519967244,0.0764089666476156,0.000202693923050449,0.325016688366637,0
OpenSkyScore,0.629621232722883,0.0282965533885623,0.580101746639991,0.687996390739716,0
