Variant,RMSE_mean_m,RMSE_std_m,P95_mean_m,P95_std_m,Failure_mean_pct,MeanN_mean,MeanN_std,ESSRatio_mean,ESSRatio_std,ESSRatio_p10_mean,Runtime_median_s,Runtime_mean_s,Runtime_std_s,StepTime_median_ms,ResampleRate_mean_pct
PF-Base,0.356767599301172,0.0039467947134648,0.737965652351676,0.0109212992934607,0,2000,0,0.580005902169471,0.000894181192975002,0.250723211398643,0.8677173,0.85037172,0.0563177234955967,0.288912229256914,33.6832167055426
PF-R,0.258927686612648,0.00162885005999939,0.469143193037241,0.0035390547790372,0,2000,0,0.474732957394152,0.000567450328674732,0.197073449028018,0.9398463,0.920796413333333,0.0579614890734846,0.312947050983006,56.9054759524603
PF-RG,0.258609034851964,0.000888958264258446,0.467803674624583,0.00330661434316442,0,2000,0,0.548308314136218,0.000760230538343115,0.279225813292969,0.9842676,0.965888346666667,0.06278371468668,0.327744118627124,41.80384316339
PF-Full,0.261617167127793,0.00146156452468626,0.475225769496957,0.0059256361932233,0,897.295901366211,0.795185965520257,0.596881085797824,0.00113355910335694,0.288462569492502,0.68620275,0.674850643333333,0.0384468609823524,0.228424275241586,34.6006886593358
