Context,PF_Base_RMSE_m,PF_Base_P95_m,PF_Base_MeanN,PF_R_RMSE_m,PF_R_P95_m,PF_R_MeanN,PF_RG_RMSE_m,PF_RG_P95_m,PF_RG_MeanN,PF_Full_RMSE_m,PF_Full_P95_m,PF_Full_MeanN
OpenSky,0.152399446879876,0.256313964542874,2000,0.157797094510994,0.276994206865851,2000,0.157038870751242,0.274612068171012,2000,0.160564074085901,0.283206360102495,718.173168411037
UrbanCanyon,0.396383938446224,0.709568456357473,2000,0.263263077535618,0.457678512732761,2000,0.261033810755665,0.455619517434711,2000,0.264195836750656,0.454660465762635,990.086956521739
Tunnel,0.174660307403124,0.385734324452196,2000,0.175044529711365,0.309163690824804,2000,0.175037376898115,0.308862582675892,2000,0.179210066979343,0.319188293072213,803.333333333333
FeaturePoor,0.644187938411377,1.12655954195678,2000,0.486442870264275,1.0168727372751,2000,0.492700707120738,1.0327564971363,2000,0.489972965880645,1.02639444759923,1256.85714285714
