Variant,RMSE_mean_m,RMSE_std_m,P95_mean_m,P95_std_m,Failure_mean_pct,MeanN_mean,MeanN_std,ESSRatio_mean,ESSRatio_std,ESSRatio_p10_mean,Runtime_median_s,Runtime_mean_s,Runtime_std_s,StepTime_median_ms,ResampleRate_mean_pct
PF-Base,0.37591826281185,0.0214430695579676,0.794698152390088,0.0566058518565791,0,2000,0,0.58359457108872,0.00262883220359194,0.258326935458143,0.8577303,0.864000733333333,0.0204270234163124,0.285594851716095,33.4743974230812
PF-R,0.279360503360529,0.031116487410019,0.51834891791791,0.0355669586415137,0,2000,0,0.473848334010478,0.00324668593584829,0.198430788885079,0.94020135,0.942712643333333,0.0188134060890867,0.313056881039653,56.4223036765522
PF-RG,0.27941876606123,0.0308674258975579,0.517926844053321,0.033800073007917,0,2000,0,0.547062493479284,0.00311581352591465,0.279382945698475,0.9758013,0.975003263333333,0.0157783358929257,0.324922692435855,42.0804176385649
PF-Full,0.281886978774911,0.0311309188339753,0.521843877479064,0.0348977741437828,0,893.84816172387,1.94410462269074,0.593544621401999,0.00334205601581729,0.291856365451967,0.683987,0.68516987,0.0142971764059503,0.227686171276241,35.0416527824059
