Context,PF_Base_RMSE_mean_m,PF_Base_RMSE_std_m,PF_R_RMSE_mean_m,PF_R_RMSE_std_m,PF_RG_RMSE_mean_m,PF_RG_RMSE_std_m,PF_Full_RMSE_mean_m,PF_Full_RMSE_std_m
OpenSky,0.151828629900244,0.00212814177181304,0.157662793109748,0.000670407300412407,0.157469809074106,0.000625563868672524,0.160680953305049,0.00136958898174737
UrbanCanyon,0.393649542372051,0.00221486124002706,0.262417117974644,0.00124011825152867,0.262035743585118,0.00082868055275884,0.263396405292649,0.00104697768773388
Tunnel,0.174576016146281,0.00240766450470587,0.176192768403744,0.000657083999409579,0.176260819320758,0.000589481716422885,0.178615503337886,0.000758979244131539
FeaturePoor,0.6882039187799,0.0167163095241107,0.483743784389046,0.0062014054095392,0.483129301076786,0.00377664434084365,0.490228563127618,0.00607360163282844
