Algorithm,PositionRMSE_m,P95Error_m,FailureRate_pct,MeanParticles,MeanESSRatio,P10ESSRatio,Runtime_s,MeanStepTime_ms,ResampleRate_pct
PF-Base,0.348304070625331,0.72133747707122,0,2000,0.578574835676888,0.250545192838822,0.9794364,0.324984238587138,33.6554481839387
PF-R,0.259752132211969,0.46703350903887,0,2000,0.475220875454908,0.196267967125693,0.9976279,0.331892469176941,56.8477174275242
PF-RG,0.260103668654172,0.464978149918357,0,2000,0.547532303565217,0.274239609215214,0.9456627,0.314823825391536,41.9193602132622
PF-Full,0.261899756714576,0.469548520729429,0,897.967344218594,0.598389367017333,0.286999108258788,0.6114864,0.203510896367877,33.9553482172609
