epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.081,1.44973,1.15765,0.00695,0.82108,0.9,0.91966,0.47497,1.31168,0.99623,0.00771,0.000636364,0.000636364,0.000636364
2,5.99456,1.60581,1.27604,0.00818,0.88758,0.8375,0.92832,0.46953,1.45152,1.19193,0.0099,0.00126003,0.00126003,0.00126003
3,8.9747,1.57785,1.23153,0.00775,0.82886,0.825,0.89832,0.49818,1.4079,0.87907,0.00807,0.0018397,0.0018397,0.0018397
4,11.984,1.72184,1.33457,0.00862,0.80123,0.85662,0.88781,0.44541,1.62406,0.91624,0.01056,0.001802,0.001802,0.001802
5,14.8795,1.69311,1.32037,0.00831,0.83521,0.7625,0.8798,0.51445,1.47668,0.90553,0.00844,0.001736,0.001736,0.001736
6,17.8848,1.66141,1.22868,0.00789,0.80023,0.8375,0.8967,0.53332,1.37022,1.07331,0.00776,0.00167,0.00167,0.00167
7,20.8167,1.61549,1.14388,0.00824,0.85796,0.90606,0.90886,0.5581,1.27943,0.79414,0.00731,0.001604,0.001604,0.001604
8,23.8544,1.52822,1.12229,0.00718,0.84064,0.9,0.92976,0.53272,1.37476,0.77899,0.00748,0.001538,0.001538,0.001538
9,26.7622,1.59405,1.18396,0.00847,0.79717,0.85,0.91965,0.5444,1.29871,0.82013,0.00749,0.001472,0.001472,0.001472
10,29.6508,1.55967,1.14707,0.00741,0.8269,0.825,0.89108,0.48035,1.52943,0.87022,0.00866,0.001406,0.001406,0.001406
11,32.5994,1.55443,1.06813,0.00767,0.87119,0.9,0.94319,0.56827,1.35618,0.74071,0.00746,0.00134,0.00134,0.00134
12,35.544,1.57108,1.08956,0.00788,0.84042,0.92166,0.95189,0.53283,1.31975,0.78249,0.00761,0.001274,0.001274,0.001274
13,38.6289,1.53751,1.05597,0.00754,0.88973,0.9,0.96386,0.59528,1.31001,0.61038,0.00777,0.001208,0.001208,0.001208
14,41.5716,1.44567,0.99844,0.0071,0.82617,0.9375,0.94513,0.59675,1.33386,0.6314,0.00752,0.001142,0.001142,0.001142
15,44.5881,1.47652,1.02084,0.00749,0.89504,0.825,0.93034,0.56032,1.39345,0.70824,0.00819,0.001076,0.001076,0.001076
16,47.5768,1.44067,0.97735,0.00705,0.87748,0.89528,0.94382,0.60695,1.34333,0.59438,0.00803,0.00101,0.00101,0.00101
17,50.5173,1.45409,0.95026,0.00676,0.83399,0.95,0.96202,0.61781,1.19314,0.58489,0.00675,0.000944,0.000944,0.000944
18,53.5929,1.40885,0.8904,0.00673,0.86981,0.925,0.96382,0.63608,1.18479,0.58455,0.00695,0.000878,0.000878,0.000878
19,56.5328,1.39488,0.94599,0.00643,0.85998,0.8,0.92896,0.56599,1.26101,0.68509,0.00711,0.000812,0.000812,0.000812
20,59.4177,1.41723,0.91081,0.00718,0.82647,0.925,0.93546,0.63937,1.15509,0.57867,0.00654,0.000746,0.000746,0.000746
21,63.0053,1.26494,0.66618,0.00665,0.88898,0.90085,0.96415,0.65477,1.12826,0.5485,0.00637,0.00068,0.00068,0.00068
22,65.9341,1.31465,0.66114,0.00716,0.95439,0.925,0.9736,0.65017,1.13567,0.52002,0.00608,0.000614,0.000614,0.000614
23,68.9366,1.30188,0.61034,0.0071,0.96342,0.9625,0.98765,0.66442,1.08783,0.47745,0.00599,0.000548,0.000548,0.000548
24,71.8689,1.30712,0.6594,0.00673,0.92631,0.94285,0.98645,0.63804,1.17534,0.48201,0.00644,0.000482,0.000482,0.000482
25,74.8132,1.27713,0.61207,0.00678,0.95069,0.96407,0.98031,0.65892,1.16048,0.43702,0.00637,0.000416,0.000416,0.000416
26,77.6935,1.30089,0.56045,0.00721,0.97124,0.925,0.97899,0.65579,1.1878,0.42393,0.00652,0.00035,0.00035,0.00035
27,80.5811,1.28022,0.61123,0.00641,0.93754,0.9625,0.97717,0.64349,1.26151,0.44415,0.00729,0.000284,0.000284,0.000284
28,83.5531,1.28379,0.53641,0.00674,0.94934,0.93707,0.97444,0.65818,1.19818,0.43965,0.0068,0.000218,0.000218,0.000218
29,86.4165,1.2145,0.54443,0.00644,1,0.94273,0.99076,0.66402,1.13388,0.43389,0.00609,0.000152,0.000152,0.000152
30,89.2961,1.22657,0.55776,0.00635,0.99333,0.95,0.991,0.66905,1.12581,0.42899,0.00609,8.6e-05,8.6e-05,8.6e-05
