Episode,Iteration,Return,Success,Steps,ActorLoss,CriticLoss,PolicyStd,Status
1,1,-27.6288458523177,0,93,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
2,1,-25.9459371771719,0,86,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
3,1,-22.8008955961744,0,86,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
4,1,-27.0913776035893,0,88,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
5,1,-24.6496335623608,0,85,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
6,1,-26.0187247551926,0,91,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
7,1,-28.3947581699473,0,86,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
8,1,-25.716011582051,0,89,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
9,1,-25.6479172344305,0,88,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
10,1,-23.7819048713554,0,91,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
11,1,-23.7536862886223,0,87,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
12,1,-25.7559237019465,0,90,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
13,1,-25.7827024130247,0,90,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
14,1,-25.4876582152722,0,95,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
15,1,-26.7281592053658,0,96,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
16,1,-24.7924500539669,0,96,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
17,1,-28.2978080718486,0,95,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
18,1,-29.3057433588789,0,100,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
19,1,-26.3174540282501,0,95,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
20,1,-26.0706472149962,0,94,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
21,1,-26.1085598498154,0,94,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
22,1,-23.4417574539242,0,80,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
23,1,-25.5112596619425,0,82,-0.0141586818385381,11.251325078773,0.577339714658725,unsafe_touchdown
24,2,-24.8031137400271,0,84,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
25,2,-28.0864366499681,0,84,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
26,2,-26.6557866173563,0,96,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
27,2,-23.8736158115395,0,99,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
28,2,-24.4175112613609,0,82,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
29,2,-23.8824767701941,0,81,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
30,2,-28.563619022465,0,106,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
31,2,-25.5798401636767,0,81,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
32,2,-25.709046072733,0,92,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
33,2,-27.3320032266575,0,108,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
34,2,-24.1183140258935,0,85,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
35,2,-24.8583506822406,0,84,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
36,2,-28.2502569746196,0,97,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
37,2,-26.1033046907859,0,84,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
38,2,-26.3988572085738,0,88,-0.0164293137826227,2.97235254590728,0.577830596421335,unsafe_touchdown
