Epoch,TrainMSE,ValMSE
1,0.427942054201559,0.329150624619343
2,0.328119538690355,0.324850325798653
3,0.324966187998267,0.330685152940104
4,0.323640104610964,0.331289319020941
5,0.321199385820844,0.331791735029298
6,0.319674485103736,0.322593518338653
7,0.31863929530734,0.323440673037897
8,0.317294516803056,0.326474992446167
9,0.316858547959282,0.318107290622371
10,0.315910769983047,0.318691365430534
11,0.314139948112031,0.323658943296184
12,0.314411328500212,0.322601857853021
13,0.312397542258355,0.314160318061205
14,0.310771699570904,0.311245210319422
15,0.30716134617919,0.307584301947181
16,0.303258448109599,0.300899833979582
17,0.296429257144075,0.307419494263612
18,0.290833725972343,0.296101582468997
19,0.284945760016646,0.290026736139401
20,0.282567468613076,0.290394463117795
21,0.277962631269657,0.288318392915242
22,0.278007305103486,0.273660420830995
23,0.272155908668451,0.282686178417678
24,0.273318689483534,0.270834703266432
25,0.269251148293031,0.275855767975146
26,0.269581336820796,0.26977820357489
27,0.268727470052527,0.276292602400971
28,0.264831774184956,0.270472121425624
29,0.266512209631305,0.270874249592769
30,0.265836268128958,0.269387071096116
31,0.265971566259667,0.269060777724111
32,0.266076287897324,0.271943268875615
33,0.264569128493933,0.279756260234834
34,0.267049297756442,0.293837267295003
35,0.264780105282692,0.271498735361146
36,0.264525391980505,0.270202059733111
37,0.263062360194944,0.272130860862783
38,0.262365591859054,0.26964877315905
39,0.261958551518746,0.272233270556197
40,0.263799792779544,0.277624482071767
41,0.264270200194653,0.266206847835834
42,0.262632456444557,0.267952787112394
43,0.262319052845203,0.265666570115371
44,0.262260850146779,0.280417123962437
45,0.262726288375213,0.270069688312267
46,0.261555161615426,0.269189990922389
47,0.262411045918035,0.273095703500234
48,0.261599048495315,0.277590456711816
49,0.26108688568861,0.271189686429087
50,0.261968983754735,0.278993497097926
51,0.261791538294154,0.27918886989244
52,0.259132998564922,0.26680764964727
53,0.258664132615463,0.267155166524494
54,0.260996846313365,0.272015734287538
55,0.259066715213845,0.290325227835148
56,0.259389387120106,0.266470026494333
57,0.258683187379163,0.280602987257652
58,0.257488731617443,0.261206037031534
59,0.257783867420538,0.27244497998548
60,0.257855311493656,0.262469149950678
61,0.257363612239057,0.261837511404625
62,0.256948034533223,0.26828159773437
63,0.254612837840843,0.266236976137284
64,0.254185685791486,0.263301318234104
65,0.255708328396402,0.26597865224414
66,0.255344916529992,0.263492261428661
67,0.258116501461758,0.258124217846716
68,0.254722349051381,0.282900857857117
69,0.254707477853734,0.264827707699938
70,0.255734352763256,0.265141305574008
71,0.255861257101477,0.258831716514869
72,0.254671638313346,0.256144841030814
73,0.252574039521671,0.254738957192241
74,0.254251676135117,0.26797328862283
75,0.254025943097503,0.257660516699928
76,0.253744942416455,0.26594369575149
77,0.252909320730325,0.258089841210352
78,0.252377996611531,0.260106570418392
79,0.252744519348021,0.285661336422553
80,0.252653691111841,0.263994687053583
