Episode,Success,NoiseStd,Samples
1,0,0.0736700508069207,70
2,0,0.632080288908772,30
3,0,0.373438706513595,30
4,0,0.166998138195051,50
5,1,0.0514804374884579,99
6,0,0.104095102318652,68
7,0,0.109808377798313,56
8,0,0.111336819317266,55
9,0,0.119005688034077,53
10,0,0.229905096551705,35
11,0,0.0847499304688195,74
12,1,0.0293278540853381,113
13,0,0.0569763745065614,78
14,0,0.320377490659334,34
15,0,0.2662103233183,46
16,0,0.29003664769493,37
17,1,0.0314641208803357,117
18,1,0.0263657717714563,129
19,0,0.325655080616258,31
20,1,0.0594458616178764,99
21,1,0.0474248363115915,106
22,0,0.0515086599364153,82
23,0,0.0809569699426249,69
24,0,0.0731548105061379,69
25,1,0.0319376476172721,119
26,0,0.382320732144877,37
27,1,0.0381375103007193,127
28,1,0.0505470082026463,101
29,1,0.0524923461202007,98
30,0,0.0813928524761604,66
31,0,0.295129657312578,36
32,0,0.525574279113136,30
33,0,0.0794060906956214,74
34,1,0.0493133687314289,102
35,0,0.309245358535522,37
36,1,0.0730760957605734,74
37,0,0.113825116808329,58
38,1,0.0685102608255715,84
39,1,0.0230351406343793,140
40,1,0.0429127158811514,116
41,1,0.0392964225768866,99
42,1,0.0270825141570329,129
43,0,0.373891730665805,29
44,0,0.0839270277894104,72
45,0,0.0831759990766608,71
46,0,0.288268961653907,38
47,0,0.138414138336701,55
48,0,0.402982769622237,34
49,0,0.0767748714047398,71
50,0,0.108000920749345,47
51,0,0.20506171318307,38
52,1,0.0249612477802806,125
53,0,0.532215505885469,31
54,0,0.530303726889523,33
55,0,0.123891571869823,61
56,0,0.157199634170121,42
57,0,0.0685956789434671,68
58,1,0.0502929794147007,114
59,0,0.14815377557745,42
60,1,0.0296269594432222,121
61,1,0.0414762103103914,116
62,0,0.316622468999156,37
63,1,0.0282977901518901,110
64,0,0.0950907589832389,65
65,0,0.0636125025315704,87
66,1,0.0307020079808406,115
67,1,0.0239144440766108,111
68,0,0.367885171001738,34
69,0,0.105889583536995,55
70,0,0.118204653066184,50
71,0,0.462147279818515,40
72,0,0.126722687929986,57
73,0,0.0922477420656799,68
74,0,0.150353991358034,44
75,0,0.47282176684102,32
76,1,0.0566203878605939,82
77,1,0.0590275019088478,94
78,1,0.0294148029741089,129
79,0,0.120484270732537,54
80,0,0.0617430184049364,93
81,1,0.0292756720222354,126
82,0,0.310544469526795,36
83,0,0.0500348919271195,93
84,0,0.603229469448728,35
85,1,0.0487183052641118,93
86,0,0.102175130689628,68
87,0,0.626880276696977,33
88,0,0.0973608358308253,68
89,0,0.580673880331469,32
90,0,0.429777422386992,35
91,0,0.141723652188644,45
92,0,0.471098345084836,30
93,1,0.0366433117197761,108
94,0,0.326399204873512,38
95,0,0.256982956238363,38
96,1,0.033883817628265,125
97,0,0.0686771501340471,74
98,0,0.102513297894953,60
99,1,0.0214951888713028,127
100,1,0.0601505318175147,80
101,0,0.33745383716575,32
102,0,0.310052454107244,38
103,1,0.0308946608702754,104
104,1,0.0290716767486117,132
105,1,0.0415658060638654,104
106,1,0.0556119158372663,109
107,0,0.137688912478276,55
108,1,0.0236639082513625,129
109,0,0.089597441555263,67
110,0,0.181806996067416,50
111,0,0.165401403590655,49
112,0,0.0900146316014694,63
113,1,0.038884772864375,108
114,1,0.0321209827358953,127
115,0,0.178795722815665,40
116,1,0.0524376732177548,102
117,0,0.203793956661496,50
118,0,0.0483678560261748,104
119,1,0.0240241827211799,113
120,0,0.0581920373354561,94
121,0,0.210347660024368,43
122,0,0.130863193727955,53
123,0,0.360372939862389,32
124,0,0.525203820673073,35
125,0,0.196092921669907,44
126,0,0.0763376783743873,78
127,0,0.599196692007143,29
128,1,0.0349129281162158,122
129,0,0.16610511112754,46
130,0,0.0852083067116176,79
131,1,0.0288520029507672,131
132,0,0.193695535190346,40
133,0,0.0561554061963909,88
134,0,0.0791318551775215,75
135,1,0.024234545408751,126
136,0,0.121052995831806,59
137,0,0.330904662762876,37
138,0,0.179594846051077,55
139,0,0.0709644291279413,90
140,1,0.0365019909278602,107
141,0,0.300227204726054,34
142,1,0.0475827030872303,97
143,1,0.0313061903164694,114
144,1,0.0262781058009143,120
145,0,0.180902684133932,48
146,1,0.0281572095370597,119
147,0,0.30018788082453,37
148,0,0.115089261074684,52
149,1,0.0618206883340838,75
150,1,0.0220647624998749,126
151,1,0.0545897920980444,102
152,0,0.0697965627860024,87
153,1,0.0243274264283522,128
154,0,0.115727001876128,53
155,0,0.0884871726199101,60
156,1,0.0521790148394636,99
157,0,0.31480353386519,40
158,0,0.282506858656414,39
159,0,0.154881589365755,47
160,1,0.0337022403358273,105
161,0,0.207422128343581,47
162,1,0.0291303019290813,125
163,0,0.110962853904403,50
164,0,0.168022470375457,45
165,1,0.0226210559761923,133
166,1,0.0501300235652101,95
167,0,0.145187461734813,41
168,0,0.125751652897864,60
169,0,0.200569571774151,39
170,0,0.361997462843179,37
171,0,0.380164378161437,34
172,1,0.0268263638832242,121
173,1,0.0444092816880799,125
174,1,0.0338262715433388,115
175,0,0.289098150369477,41
176,0,0.334327577992126,41
177,0,0.496864780052868,36
178,0,0.452451166538057,26
179,1,0.0280264700557976,109
180,0,0.0982816935874546,64
181,0,0.0729762281374205,88
182,1,0.0267526923122462,118
183,1,0.0402374389630356,111
184,1,0.0214940792723406,120
185,0,0.0596588710672885,102
186,0,0.16321236073614,50
187,0,0.142360560996426,47
188,1,0.0286714475412788,129
189,0,0.290679723400088,38
190,1,0.0382036338524516,111
191,0,0.387267610516033,37
192,0,0.143931241624234,54
193,0,0.0504547970017617,93
194,1,0.0208775298355908,115
195,0,0.190503977721712,41
196,0,0.0921926402954666,68
197,1,0.0241902025117568,128
198,0,0.0400691871985216,110
199,0,0.0854735881725547,69
200,0,0.338789295433125,38
201,0,0.0841615771663255,72
202,0,0.0762115684863152,72
203,0,0.166808481045061,47
204,1,0.0238683605264216,134
205,0,0.0749721796684239,77
206,0,0.232899985336438,44
207,0,0.0812687295277651,68
208,0,0.177578543120483,52
209,1,0.0384749280149159,108
210,0,0.22097993307822,46
211,0,0.0393959376675192,95
212,1,0.0789616822392581,76
213,0,0.168846058806467,54
214,0,0.224017602718792,44
215,0,0.581953370769139,32
216,1,0.0347393912021755,124
217,0,0.14107528038393,52
218,1,0.0416317120723125,100
219,1,0.0222614273715101,143
220,0,0.13028311605056,58
221,1,0.0227531769967118,121
222,0,0.101451299775088,55
223,1,0.0355029341473674,137
224,0,0.0889120910367397,64
225,0,0.254819319101005,38
226,1,0.0209069449948006,140
227,1,0.0391637851198419,120
228,0,0.327392231769605,34
229,1,0.0217872302864645,125
230,1,0.0370322068937569,122
231,0,0.296294245986078,37
232,0,0.302427059058335,33
233,0,0.22526271258325,42
234,0,0.213792078450951,43
235,0,0.0319270843078876,110
236,0,0.48295607451612,31
237,0,0.532206229326677,35
238,0,0.481570057242922,33
239,0,0.616637137722845,32
240,0,0.536131574232545,27
241,1,0.0290133964817076,106
242,1,0.0324911991355352,110
243,1,0.0432166882454736,113
244,0,0.267446855562402,39
245,0,0.236163674447306,38
246,0,0.314075558868558,40
247,0,0.0973506975825106,50
248,0,0.0351114622852859,107
249,1,0.0493119912877281,116
250,1,0.0210896655572597,114
251,1,0.0297035453525333,111
252,1,0.0235336291245718,134
253,0,0.105918211744843,71
254,0,0.277200760483727,42
255,0,0.108758036283508,56
256,0,0.0875984407384139,80
257,0,0.330835832471599,34
258,0,0.236489318520421,42
259,1,0.0336297025049831,137
260,0,0.439793551746512,37
261,0,0.115748153376924,58
262,0,0.233285171476399,37
263,0,0.361102838613689,35
264,0,0.107208422974405,64
265,1,0.0203311017351968,117
266,0,0.096532960832442,58
267,0,0.232178190527304,41
268,0,0.257394103659389,37
269,0,0.645034944032621,31
270,0,0.246616676992177,49
271,0,0.156077677340178,53
272,0,0.1162894406857,53
273,0,0.488173776799134,34
274,1,0.0542544643618749,96
275,0,0.159412197046169,56
276,0,0.238876627639266,38
277,0,0.445636881648691,37
278,1,0.0227911312425544,128
279,0,0.163664469922528,48
280,0,0.405986153739774,35
281,0,0.0801884945631301,76
282,1,0.0221682651582164,117
283,1,0.043870355138556,105
284,1,0.0283548372199765,123
285,0,0.0694306237397554,72
286,0,0.298952715671889,36
287,1,0.0437673807788182,124
288,0,0.531416713050942,32
289,0,0.117588348438377,62
290,1,0.0408511755431272,97
291,0,0.359891860360622,36
292,1,0.0359291027204898,121
293,0,0.228709226482334,37
294,1,0.0518470266133832,108
295,0,0.0981195132079709,59
296,0,0.192638514768818,36
297,1,0.0224524711614914,114
298,1,0.0258722196233373,125
299,0,0.116468199882554,67
300,0,0.0992717442012689,58
301,0,0.400347549110627,30
302,0,0.412183474389926,35
303,1,0.0261793317951493,119
304,0,0.100437518272168,71
305,1,0.0377328359483874,120
306,0,0.270449232343244,42
307,0,0.591565113995884,26
308,1,0.0370358032121157,100
309,0,0.177805380667525,45
310,0,0.27123992037827,36
311,1,0.0243153470133971,134
312,0,0.156524529212337,49
313,1,0.0269076147956111,134
314,0,0.583812734826107,32
315,0,0.120258831718697,50
316,0,0.577761613338988,33
317,0,0.583411224698817,31
318,0,0.0604224258730919,91
319,0,0.104675646598013,63
320,1,0.0311284216208508,127
321,0,0.0982682065805264,67
322,0,0.366511403444137,38
323,0,0.0700375302021318,74
324,0,0.270619276703248,35
325,0,0.394132429913438,32
326,0,0.322900099645548,38
327,0,0.30258361114476,37
328,0,0.210812517696577,42
329,0,0.118085332283651,56
330,0,0.0791412711159157,77
331,0,0.0767438232455461,80
332,0,0.0581143334121812,90
333,0,0.539883547664149,31
