Epoch,Loss
1,1.30480958472241
2,1.19125808464302
3,1.21790245339111
4,1.23600195397387
5,1.24662863160228
6,1.25500745563717
7,1.26000371477106
8,1.26289415228498
9,1.26213448388236
10,1.26088083314372
11,1.25435823529631
12,1.24986825932513
13,1.2470093022336
14,1.24323871633509
15,1.24107356778868
16,1.23901804331895
17,1.23673096069923
18,1.23476006041516
19,1.23357849461692
20,1.23177451091808
21,1.23057844743624
22,1.22940316567054
23,1.22800652797406
24,1.22717392182612
25,1.22647308517288
26,1.2258383677556
27,1.22542369496691
28,1.22473296097347
29,1.22426567103837
30,1.22402650314373
31,1.22337052455315
32,1.22338946835025
33,1.22290006967691
34,1.22261663845607
35,1.22236537409353
36,1.22230872086116
37,1.22193212430556
38,1.221417592122
39,1.22148982640151
40,1.22153221643888
41,1.22117988093869
42,1.22080414373796
43,1.2206477856898
44,1.22052357354007
45,1.22018289042043
46,1.22011967674716
47,1.22004158942254
48,1.21987715003255
49,1.21973696776799
50,1.21943048199454
