Epoch,Loss
1,1.29822743986989
2,1.19368179813846
3,1.21576573822525
4,1.22783333783621
5,1.23680199895586
6,1.24375798938039
7,1.24926092336466
8,1.2520313000941
9,1.25383869108263
10,1.25086234821068
11,1.24442364619328
12,1.23961736081721
13,1.23694210262089
14,1.23509375472645
15,1.23249475379567
16,1.23047489517338
17,1.22907989889711
18,1.22763650233929
19,1.22598045212882
20,1.2246013041381
21,1.2240606546402
22,1.22329024037162
23,1.22214871972472
24,1.22206489070431
25,1.22182266004793
26,1.22044503033816
27,1.21990225472293
28,1.21957800807534
29,1.21953169592134
30,1.21886004982414
31,1.21821310362973
32,1.21841991078723
33,1.21762325999501
34,1.21728086471558
35,1.21682633017446
36,1.21691975488768
37,1.21641055044237
38,1.21656544129927
39,1.21595161039751
40,1.21573726161496
41,1.21563626907684
42,1.21547578586327
43,1.21508957003499
44,1.21500501396892
45,1.2148184632207
46,1.21435470895453
47,1.21440848806402
48,1.21429595318469
49,1.21408020402049
50,1.21413969993591
