Epoch,Loss
1,1.3193172950011
2,1.19334208834302
3,1.21534867470081
4,1.22954061660138
5,1.24075778500064
6,1.25033515495258
7,1.25856841658498
8,1.26452999062591
9,1.26883747682467
10,1.27190362097143
11,1.26831735621442
12,1.26542846449129
13,1.26132470958835
14,1.25701304844448
15,1.25212569551153
16,1.24702380777715
17,1.24123837921646
18,1.23718003126291
19,1.23374636487646
20,1.23110837202806
21,1.22982492813697
22,1.22886412484305
23,1.22720503152072
24,1.22624074757754
25,1.22586948793013
26,1.22571232947674
27,1.22465150696891
28,1.22396354884892
29,1.22340611966102
30,1.22279775273669
31,1.22258439823821
32,1.2221157170914
33,1.22198206251794
34,1.22201367262956
35,1.22158697149256
36,1.22077684088068
37,1.22105488148364
38,1.22075955160372
39,1.22012446345864
40,1.22019979586968
41,1.2200480227942
42,1.2194884452191
43,1.21960251540928
44,1.21935897083073
45,1.21881604849637
46,1.21953261815585
47,1.21880634407421
48,1.2186360843889
49,1.2181168624333
50,1.21823440279279
