Epoch,Loss
1,1.16492338232942
2,1.14626269681113
3,1.16009426378942
4,1.1720005431018
5,1.18295815881792
6,1.19007988421472
7,1.19749180825202
8,1.20305188933572
9,1.20848469812791
10,1.21316550721179
11,1.21115492071424
12,1.21134254172608
13,1.21037118382506
14,1.20880902468503
15,1.20858112141326
16,1.20954532413692
17,1.20707254226391
18,1.20755503072843
19,1.20665556257898
20,1.20696071347038
21,1.20655674593789
22,1.2062461245191
23,1.2060431268189
24,1.20624418573065
25,1.2057995730704
26,1.20594187359233
27,1.20534328444973
28,1.20429168821691
29,1.20487743943602
30,1.20549435012943
31,1.20444326086359
32,1.20492146303366
33,1.20434585508409
34,1.20511533008827
35,1.2037063902551
36,1.20400396939162
37,1.20435699001773
38,1.20386583988483
39,1.2042067195033
40,1.20409944948259
41,1.20400578897078
42,1.20364709476848
43,1.20309287506145
44,1.20366274262523
45,1.20364535378886
46,1.20359043891613
47,1.20361931507404
48,1.20316972837343
49,1.20315463988336
50,1.20338944681398
