Epoch,Loss
1,1.16225423000671
2,1.17650867556478
3,1.19142950891138
4,1.19917547309792
5,1.20889536234049
6,1.21418694087437
7,1.21647172969776
8,1.21958287862631
9,1.22319464762132
10,1.22554188770252
11,1.22051924532586
12,1.21718058874319
13,1.21416266278906
14,1.21349875350575
15,1.21327437542297
16,1.21035809569306
17,1.21110439431536
18,1.20949680333609
19,1.20709020095867
20,1.20680419298319
21,1.20712609474476
22,1.20727234358316
23,1.20594140592512
24,1.20558161787934
25,1.20613151461213
26,1.20501126823844
27,1.20465759261624
28,1.20425546169281
29,1.20471386464088
30,1.20385486870022
31,1.20454356041583
32,1.20294413330791
33,1.20324079151992
34,1.20360525230785
35,1.20344221067953
36,1.20347762631846
37,1.20241159397167
38,1.20260502872886
39,1.20340465975332
40,1.20448833769494
41,1.20289288510333
42,1.20210934471298
43,1.20235306483049
44,1.20425772404933
45,1.20311893604614
46,1.20207265445164
47,1.2027425294394
48,1.20196823366396
49,1.20213680083935
50,1.20234034742628
