Epoch,Loss
1,1.3120187154183
2,1.19124545500829
3,1.21640742873098
4,1.23323697572226
5,1.24300978340945
6,1.24911662903461
7,1.25259516003368
8,1.25404077571827
9,1.25548269067492
10,1.25548751406617
11,1.24902735175667
12,1.24291535917219
13,1.2374212375054
14,1.23363469721197
15,1.23184008519728
16,1.22950046534067
17,1.22768941554394
18,1.22669258615473
19,1.22562610055064
20,1.2244557587655
21,1.22364797434964
22,1.2226991718942
23,1.22229799726507
24,1.22164082003164
25,1.2206520313745
26,1.22040278570993
27,1.21977107734471
28,1.2197422679964
29,1.21911842875428
30,1.21863160814558
31,1.21822383639577
32,1.2180060842535
33,1.2180022918261
34,1.21767859144525
35,1.21748066210485
36,1.21681133731381
37,1.21621769208174
38,1.21635378455068
39,1.2160245520728
40,1.21557002146165
41,1.21536311867473
42,1.21520268131088
43,1.21481824183202
44,1.21479927838504
45,1.21447544831496
46,1.21411965967535
47,1.21449101888216
48,1.21407141790285
49,1.21375486352941
50,1.21368858971439
