Epoch,Loss
1,1.37367722359332
2,1.19958119601994
3,1.22403771143693
4,1.24061200775943
5,1.25232958269643
6,1.26159191655589
7,1.26923149496644
8,1.27457734123691
9,1.27827641204163
10,1.28043395739335
11,1.27671080238217
12,1.27315954192654
13,1.26978006074717
14,1.26626577875116
15,1.26309547843514
16,1.2604363999524
17,1.25766383815598
18,1.25562196380489
19,1.252995463518
20,1.25060386710115
21,1.24803301397261
22,1.24472383090428
23,1.24217643973592
24,1.23961324613173
25,1.23790462069459
26,1.23620098108774
27,1.23461538487738
28,1.23353935336019
29,1.23237823261009
30,1.2317008304072
31,1.23094860145024
32,1.23005541864332
33,1.22952254263909
34,1.22888401183453
35,1.22812155838851
36,1.22763166060814
37,1.22695937654474
38,1.22618770337367
39,1.22557155116574
40,1.22508298040746
41,1.22477753738781
42,1.22411272289989
43,1.22366832769834
44,1.22315763117193
45,1.22294508624863
46,1.22236900801187
47,1.22211559788211
48,1.22196373572716
49,1.22169699118688
50,1.22168578289367
