epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12196,1.35172,0.77742,0.00649,0.88265,0.90566,0.96033,0.65667,1.16478,0.47535,0.00624,0.000644444,0.000644444,0.000644444
2,7.93906,1.45577,0.91744,0.00713,0.83544,0.96226,0.95541,0.62383,1.22579,0.61637,0.00714,0.00126784,0.00126784,0.00126784
3,11.8021,1.43159,0.8044,0.00713,0.94777,0.89623,0.94954,0.59579,1.27335,0.88579,0.00701,0.00184724,0.00184724,0.00184724
4,15.7572,1.46574,0.93365,0.0072,0.95302,0.87736,0.9638,0.53383,1.47401,0.60159,0.0079,0.001802,0.001802,0.001802
5,19.5183,1.47764,0.87896,0.00736,0.93626,0.88679,0.97463,0.61486,1.29891,0.62172,0.00686,0.001736,0.001736,0.001736
6,23.2939,1.46021,0.85027,0.00712,0.95538,0.808,0.94394,0.55983,1.3861,0.68484,0.00776,0.00167,0.00167,0.00167
7,27.1796,1.50051,0.88838,0.00765,0.94101,0.90289,0.96065,0.56073,1.44943,0.63586,0.00765,0.001604,0.001604,0.001604
8,31.0376,1.50407,0.92794,0.00757,0.95984,0.90198,0.97784,0.6205,1.30542,0.56166,0.00756,0.001538,0.001538,0.001538
9,34.8138,1.44767,0.90754,0.007,0.9135,0.9434,0.96954,0.60446,1.33165,0.58232,0.00715,0.001472,0.001472,0.001472
