Time,ESS,Particles,Runtime_ms,rGNSS,rLiDAR,rOdom,Difficulty,lambdaMotion,lambdaGNSS,lambdaLiDAR,lambdaBroad,sigmaGNSS,sigmaLiDAR,sigmaLiDARYaw
0,199.269106169639,200,4.1412,1,0,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.200000000000003,346.95402322443,450,2.7734,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.399999999999999,382.218770219751,450,0.6166,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.600000000000001,395.487351072888,450,0.439,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.799999999999997,399.22854011777,450,1.1562,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1,396.623800923153,450,0.2892,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.2,389.005449834898,450,0.2558,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.4,394.73567183803,450,0.2478,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.6,405.367115431125,450,0.238,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.8,402.201017052914,450,0.434,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2,400.772208581328,450,0.2971,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.2,400.781513256033,450,0.2363,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.4,397.099659726177,450,0.2411,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.6,393.169931857139,450,0.4058,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.8,395.593867950958,450,0.2685,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3,391.846112851288,450,0.2453,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.2,401.782400261649,450,0.2839,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.4,397.620556585945,450,0.3017,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.6,398.10191064007,450,0.3066,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.8,403.864972362624,450,0.2789,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4,403.242101819326,450,0.2414,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.2,401.921768460027,450,0.2983,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.4,400.033198133853,450,0.2816,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.6,406.544358720729,450,0.2385,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.8,402.851591689871,450,0.2935,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5,401.170371064434,450,0.2444,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.2,399.223022849722,450,0.2884,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.4,401.653058130119,450,0.2938,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.6,406.36556001987,450,0.2866,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.8,399.566916627497,450,0.2866,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6,400.63034793568,450,0.2776,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.2,401.373490423138,450,0.3385,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.4,401.999153643708,450,0.3183,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.6,399.098776158173,450,0.2403,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.8,399.16369113975,450,0.2892,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7,393.25155926287,450,0.3456,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.2,395.345225802147,450,0.2995,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.4,398.71618039675,450,0.2413,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.6,402.606324492295,450,0.3039,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.8,398.8912157285,450,0.3227,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8,398.68259241827,450,0.3021,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.2,392.472902014585,450,0.305,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.4,396.279707656331,450,0.5057,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.6,400.26202061264,450,0.3387,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.8,394.629626496197,450,0.3321,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9,398.332049000474,450,0.3333,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.2,397.240253109698,450,0.3121,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
