Time,GT_X,GT_Y,GT_Yaw,Est_X,Est_Y,Est_Yaw
0,-60.6554508885165,-124.811808530068,-1.62641271710029,-60.5552742988185,-124.700546767401,-1.65795083267431
0.200000047683716,-60.6681756250173,-125.066451553277,-1.63449582911795,-60.5483493967205,-124.915356112181,-1.66580476585493
0.400000095367432,-60.6897814571158,-125.325261785086,-1.66597409866725,-60.428746196557,-125.143218827876,-1.69613003597664
0.599999904632568,-60.7133726165002,-125.593220969411,-1.65274337630983,-60.3468330074939,-125.352058781393,-1.68780872572519
0.799999952316284,-60.7333402999626,-125.870520866866,-1.63574535944066,-60.3581447138693,-125.562977516456,-1.67860398312631
1,-60.7501183130791,-126.139466153148,-1.63980497456,-60.3362611668525,-125.816881155921,-1.68131348425601
1.20000004768372,-60.7682708508127,-126.396350655104,-1.64891427531452,-60.2924180997293,-126.054959964912,-1.68989983565529
1.40000009536743,-60.7887613552437,-126.654208243382,-1.65345196981911,-60.2698908504881,-126.294066631939,-1.69093870182676
1.59999990463257,-60.8091106058244,-126.919346600152,-1.64835224588925,-60.2245275760289,-126.55604703002,-1.68665959104819
1.79999995231628,-60.8280165404889,-127.197987512148,-1.63251460883576,-60.1679524617039,-126.764163714414,-1.67405729033974
2,-60.8399892294242,-127.478078701756,-1.60878076107616,-60.1419772264684,-127.025514528205,-1.65117766515673
2.20000004768372,-60.8468699645728,-127.758222404801,-1.59788341518336,-60.0808600994366,-127.285376340736,-1.63874125370579
2.40000009536743,-60.8518669180116,-128.042086658052,-1.59288576215139,-60.0257598233457,-127.548926626361,-1.6368344070608
2.59999990463257,-60.8556872899733,-128.334456093872,-1.59571299330041,-59.9708900578091,-127.814467692248,-1.64030174515544
2.79999995231628,-60.8624504686436,-128.636370192492,-1.60153203611883,-59.9032053317807,-128.061058373475,-1.64944055642252
3,-60.8686199165151,-128.934333228309,-1.60124077983971,-59.8595545957199,-128.352281468985,-1.65017828601887
3.20000004768372,-60.8764397980505,-129.22596704384,-1.61117728173502,-59.803878545056,-128.645188958994,-1.65973493566624
3.40000009536743,-60.8850759874769,-129.487225491275,-1.60724889535972,-59.769652312312,-128.912079458824,-1.65711026860753
3.59999990463257,-60.8939662226633,-129.76055071146,-1.60541365806533,-59.7472222539944,-129.188314515417,-1.66080005730875
3.79999995231628,-60.9036698013284,-130.038438219293,-1.60448781458609,-59.6508351291677,-129.459741710437,-1.656957554549
4,-60.9094367032708,-130.318281596855,-1.58461163779754,-59.6161966311134,-129.729551738522,-1.6364606878818
4.20000004768372,-60.9116711969994,-130.591497261856,-1.57916603054855,-59.572493181109,-130.010619946301,-1.63416750083051
4.40000009536743,-60.9127381808732,-130.850954768869,-1.57085972205118,-59.5233526135698,-130.244312012829,-1.62406307504648
4.59999990463257,-60.9111709184407,-131.109322876548,-1.56991140835723,-59.4995496009718,-130.483975745683,-1.62584108334845
4.79999995231628,-60.9129134918315,-131.377348402032,-1.58428658364634,-59.4350227760989,-130.719043099335,-1.6353931540506
5,-60.9143733467346,-131.652277265063,-1.57352639763678,-59.4007203013905,-130.956994060429,-1.62214120411658
5.20000004768372,-60.9159096838213,-131.927492258527,-1.58506528933539,-59.3537741951828,-131.230218984727,-1.63210603486709
5.40000009536743,-60.9201392922236,-132.199526457198,-1.58502791555986,-59.2867469751687,-131.513386410711,-1.6365824084608
5.59999990463257,-60.9230996330696,-132.469300201028,-1.58617129817328,-59.2606113583704,-131.788644152165,-1.63900759120595
5.79999995231628,-60.9303900020369,-132.747577656109,-1.60823474160312,-59.2093686091574,-132.063787649081,-1.66711215003624
6,-60.9411618085458,-133.038467994515,-1.60646760541469,-59.188098520109,-132.346536568539,-1.66840788911786
6.20000004768372,-60.9533095382812,-133.329920313659,-1.62099286901715,-59.1519067546329,-132.639757127983,-1.68155242993809
6.40000009536743,-60.9687433246481,-133.611042485011,-1.6236357298423,-59.1045719224353,-132.908085273866,-1.68715182253972
6.59999990463257,-60.9809369802905,-133.885205559551,-1.60970625639383,-59.099293852203,-133.177056585525,-1.67161549212471
6.79999995231628,-60.9928131394062,-134.164549352864,-1.61649673962111,-59.0869309237282,-133.443246030856,-1.67886648622623
7,-61.0032337841994,-134.42737512189,-1.60007048015975,-59.06387259169,-133.720385234163,-1.6565164968601
7.20000004768372,-61.0116034457513,-134.715915063089,-1.59619753230812,-59.0358078692147,-134.00745865989,-1.65514238235335
7.40000009536743,-61.0186787324598,-134.995206111158,-1.58784734314663,-58.9973858008463,-134.294801271298,-1.64231561498393
7.59999990463257,-61.0212769790161,-135.270177200263,-1.57310427679647,-58.9879646208357,-134.554597636621,-1.6280898704978
7.79999995231628,-61.0231766253943,-135.549294977457,-1.58092682177133,-58.9438802070416,-134.819479492218,-1.63715686517444
8,-61.0249744463121,-135.839273770401,-1.56933957999089,-58.9270098462833,-135.101924742452,-1.62746297056713
8.20000004768372,-61.0244747719785,-136.137638950573,-1.57096326909997,-58.8994574182506,-135.398402852618,-1.6268234020708
8.40000009536743,-61.0265597494947,-136.431569975557,-1.57749642825856,-58.8343974976902,-135.663322511175,-1.63127061877299
8.59999990463257,-61.0279409134692,-136.703743085718,-1.57440380915688,-58.8048232648201,-135.911410993637,-1.6299085659464
8.79999995231628,-61.0319259537835,-136.97496732351,-1.59494767127241,-58.777571979372,-136.168157483227,-1.65792696154956
9,-61.0384414619816,-137.255116426689,-1.5866164459681,-58.722631593511,-136.431411632244,-1.64397543246233
9.20000004768372,-61.0438991876746,-137.547428581115,-1.59653329210185,-58.7036124339852,-136.72742357998,-1.64900481635623
9.40000009536743,-61.0546548600174,-137.839497875429,-1.60729344742159,-58.655051965093,-137.022486770943,-1.66248657619939
9.59999990463257,-61.0636529724701,-138.118776777946,-1.59682361363575,-58.6819976561947,-137.31529226209,-1.65545380692949
9.79999995231628,-61.0747585821604,-138.389425978265,-1.62252350980139,-58.6563187630819,-137.587247929571,-1.68482604318193
10,-61.0883176545875,-138.660360158063,-1.60346676793877,-58.6395039799499,-137.869257178555,-1.6656768978255
10.2000000476837,-61.0953757549428,-138.942504912326,-1.59141636575937,-58.6294023760226,-138.152719805472,-1.65019878318645
